,Proliferation 1h (P1) /Control,Proliferation 6h (P6) /Control,Proliferation 24h (P24) /Control,Quiescence 1h (Q1) /Control,Quiescence 6h (Q6) /Control,Quiescence 24h (Q24) /Control,Quiescence 96h (Q96) /Control,Senescence 1h (S1) /Control,Senescence 6h (S6) /Control,Senescence 24h (S24) /Control,Senescence 96h (S96) /Control
Tau (Ab-212) ,0.923,1.03,0.966,0.803,0.61,0.717,0.601,0.938,0.525,0.571,0.553
CREB (Phospho-Ser121),1.013,1.516,1.273,1.479,1.47,1.575,2.82,1.303,1.405,1.261,1.284
EGFR (Phospho-Tyr1016),1.019,1.415,1.317,1.239,1.141,1.224,1.51,1.099,1.355,1.029,1.014
FAK (Phospho-Tyr407),0.928,1.426,1.143,1.18,1.395,1.471,1.414,1.326,1.273,1.205,1.073
FOXO1/3/4-pan (Phospho-Thr24/32),1.038,1.318,1.673,1.646,1.796,2.106,1.79,1.434,1.626,1.319,0.99
FKHR/FOXO1A (Phospho-Ser329),1.196,1.259,1.698,1.349,1.277,1.318,1.224,1.276,1.106,1.175,1.021
FOXO1A/3A (Phospho-Ser322/325),1.145,1.181,1.34,1.368,1.247,1.298,1.156,1.063,1.177,0.923,0.75
GRK2 (Phospho-Ser29),1.01,1.058,1.22,1.36,1.388,1.33,1.228,1.465,1.371,1.123,0.924
IKK-beta (Phospho-Tyr199),0.896,0.921,1.084,1.407,1.893,1.445,1.534,1.153,0.968,1.038,0.838
IRS-1 (Phospho-Ser323),1.049,1.024,1.262,1.059,0.862,1.104,1.073,1.153,0.993,1.214,0.83
JNK1/2/3 (Phospho-Thr183/Tyr185),1.011,1.171,1.22,0.995,0.837,0.929,0.965,0.755,0.887,0.858,0.705
LAT (Phospho-Tyr191),1.229,0.914,1.417,1.086,1.009,1.064,0.974,1.325,0.965,1.008,0.886
LCK (Phospho-Tyr505),2.358,1.078,1.298,0.79,0.658,0.662,1.196,2.996,1.167,0.862,1.853
LCK (Phospho-Tyr192),1.124,1.127,0.968,1.652,1.401,1.369,1.595,1.143,0.887,1.07,0.725
MDM2 (Phospho-Ser166),0.971,0.857,0.869,1.133,0.959,1.036,1.075,0.973,0.714,1.219,0.836
MEF2D (Phospho-Ser444),1.02,1.03,0.958,1.066,0.811,0.929,0.841,1.198,0.906,1.146,0.765
NFAT4 (Phospho-Ser165),1.033,1.032,0.855,1.388,1.368,1.286,1.382,1.179,0.771,1.037,0.722
p53 (Phospho-Ser20),1.025,0.799,0.877,0.967,0.865,0.843,0.909,1.055,0.89,0.879,0.661
p53 (Phospho-Ser392),0.983,1.015,0.88,1.087,0.963,0.941,0.895,1.153,0.887,1.057,0.82
P70S6K (Phospho-Thr229),0.939,0.973,0.964,1.103,0.829,0.791,0.942,1.35,0.817,1.335,0.94
Caspase 1 (Phospho-Ser376),0.946,1.482,1.247,1.945,2.124,1.836,2.895,1.313,1.263,1.055,1.126
Caspase 2 (Phospho-Ser157),0.978,1.239,1.364,1.218,1.303,1.283,1.224,1.426,1.306,1.294,1.194
GRB10/Growth factor receptor-bound protein 10 (Phospho-Tyr67),0.963,1.34,1.354,1.023,1.296,1.409,1.43,1.264,1.546,1.244,1.044
GTPase activating protein (Phospho-Ser387),0.858,1.163,1.119,1.307,1.261,1.24,1.205,0.994,1.151,1.161,0.928
HSP90 co-chaperone Cdc37 (Phospho-Ser13),0.959,0.969,1.108,1.222,1.261,1.698,1.123,1.125,1.04,1.225,0.938
IkB-alpha (Phospho-Tyr305),1.056,1.212,1.414,1.78,1.472,1.432,1.505,0.959,1.198,1.023,0.948
MKP-1 (Phospho-Ser359),1.071,1.233,1.234,1.167,1.125,1.111,0.946,1.34,1.28,1.344,0.983
NFkB-p100/p52 (Phospho-Ser872),1.788,0.915,1.042,1.207,1.127,1.127,1.437,1.137,1.728,1.032,0.897
PAK1/2 (Phospho-Ser199),1.099,1.001,1.117,1.098,1.168,1.159,1.122,1.08,0.925,1.115,0.744
RapGEF1 (Phospho-Tyr504),0.979,1.051,1.235,1.175,1,1.122,1.163,1.352,1.321,1.446,1.081
MAP3K7/TAK1 (Phospho-Thr184),1.094,1.185,1.309,1.099,0.872,0.95,0.95,1.317,1.209,1.257,0.936
eNOS (Phospho-Ser615),1.107,1.05,0.928,0.929,0.742,0.864,0.857,1.017,0.883,0.934,0.744
IKK-gamma (Phospho-Ser85),0.929,0.895,0.982,1.062,0.839,0.926,0.991,1.168,0.994,1.003,0.66
mTOR (Phospho-Thr2446),1.094,0.82,0.922,1.239,1.14,1.085,1.067,1.207,0.88,0.912,0.718
IGF2R (Phospho-Ser2409),1.129,1.12,1.09,1.111,0.881,0.955,0.988,1.061,0.961,1.016,0.984
PI3-kinase p85-subunit alpha/gamma (Phospho-Tyr467/Tyr199),1.117,0.993,1.224,1.235,0.943,1.036,1.122,1.083,1.053,1.239,0.966
PI3-kinase p85-alpha (Phospho-Tyr607),1.013,1.137,0.967,1.098,0.838,0.913,0.921,1.253,0.971,1.451,1.052
RGS16 (Phospho-Tyr168),0.88,1.189,1.006,1.305,1.279,1.319,1.553,1.315,0.999,1.219,0.864
Rho/Rac guanine nucleotide exchange factor 2 (Phospho-Ser885),0.896,1.044,0.823,1,0.915,0.872,0.966,1.28,0.691,1.178,0.824
NMDAR2A/B (Phospho-Tyr1246/1252),0.973,1.607,1.063,0.875,0.883,0.898,1.236,1.372,1.106,0.986,1.085
VEGFR2 (Phospho-Tyr1054),0.956,1.21,1.103,1.026,0.751,0.832,0.871,1.125,1.292,1.082,1.101
Vinculin (Phospho-Tyr821),0.95,1.453,1.469,0.932,1.026,1.098,0.931,1.367,1.469,1.078,1.074
HRS (Phospho-Tyr334),0.862,1.296,1.192,0.81,0.849,1.022,0.933,1.263,1.48,1.03,0.985
IL-10R-alpha (Phospho-Tyr496),0.878,0.746,0.937,0.912,0.865,1.058,0.712,0.731,0.761,0.796,0.671
IL-13R/CD213a1 (Phospho-Tyr405),0.873,0.758,0.722,0.771,0.717,0.612,0.671,0.828,0.656,0.618,0.747
IL-4R/CD124 (Phospho-Tyr497),0.988,0.792,0.961,0.862,0.561,0.726,0.853,0.744,0.798,0.56,0.685
IL7R/CD127 (Phospho-Tyr449),1.958,1.745,2.701,1.387,1.089,1.232,0.974,1.637,1.479,1.579,1.369
Integrin beta-4 (Phospho-Tyr1510),0.858,0.816,0.67,1.037,0.969,1.053,0.925,0.942,0.774,0.845,0.667
Kv1.3/KCNA3 (Phospho-Tyr135),1.003,0.877,0.771,0.673,0.592,0.671,0.814,0.792,0.685,0.704,0.796
Kv2.1/Kcnb1 (Phospho-Tyr128),0.894,1.075,0.888,0.665,0.545,0.672,0.545,0.893,0.862,0.694,0.563
CDK5 (Phospho-Tyr15),0.998,0.907,0.865,0.691,0.606,0.744,0.674,0.759,0.697,0.615,0.804
STAM2 (Phospho-Tyr192),0.88,1.008,0.901,0.662,0.533,0.617,0.619,0.778,0.882,0.716,0.716
AXL (Phospho-Tyr691),1.045,0.951,1.057,0.852,0.769,0.774,0.657,0.851,0.756,0.836,0.732
FER (Phospho-Tyr402),1.15,0.637,0.898,0.735,0.79,0.788,0.689,0.877,0.788,0.558,0.549
FLT3 (Phospho-Tyr842),0.994,1.03,0.944,0.978,0.944,0.856,1.022,1.01,0.658,0.695,0.672
FLT3 (Phospho-Tyr969),1.085,0.77,0.97,0.886,0.741,0.818,0.769,0.743,0.775,0.727,1.004
ICK (Phospho-Tyr159),0.836,1.066,1.075,0.781,0.723,0.809,0.892,1.232,0.963,0.893,0.774
BLNK (Phospho-Tyr84),1.059,0.979,0.943,1.023,0.945,1.232,1.074,0.95,0.751,0.692,0.87
PLC beta3 (Ab-537),0.976,1.536,1.611,1.039,1.264,1.45,1.216,1.631,2.119,1.227,1.079
Ras-GRF1 (Ab-916),1.324,1.24,1.494,1.074,1.075,1.197,1.178,1.473,1.553,0.799,0.835
14-3-3 theta/tau (Ab-232),0.929,1.284,1.371,0.933,0.942,1.004,0.94,1.226,1.735,1.131,1.065
14-3-3 zeta/delta (Ab-232),1.318,2.778,1.613,1.685,1.372,1.194,1.161,1.834,0.752,1.111,1.267
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (PFKFB2) (Ab-483)",0.898,1.22,1.378,0.989,1.065,1.152,1.128,1.526,1.823,1.273,1.125
Actin Pan (a/b/g) (Ab-55/53),0.758,1.301,0.878,0.977,0.734,0.717,0.948,1.089,0.859,0.868,0.748
A-RAF (Ab-301/302),0.874,1.312,1.353,0.896,0.975,1.099,1.02,1.56,1.68,1.181,1.269
ATRIP (Ab-68/72),0.835,1.241,1.117,0.536,0.505,0.646,0.471,1.14,1.032,0.517,0.577
BAX (Ab-167),1.023,0.912,1.042,0.783,0.741,0.77,0.738,1.001,0.939,0.901,0.675
BCL-2 (Ab-69),0.914,1.075,1.184,0.946,0.89,0.953,0.916,1.337,1.301,1.193,0.914
BCL-XL (Ab-47),1.027,1.033,0.927,0.593,0.521,0.605,0.547,0.94,0.953,0.637,0.544
B-RAF (Ab-598),1.105,1.237,0.712,0.939,0.542,0.649,0.553,0.808,0.695,0.965,1.042
B-RAF (Ab-601),0.906,1.179,1.236,0.99,1.123,1.105,1.176,1.573,1.477,1.251,0.857
Chk2 (Ab-383),1.26,1.259,0.763,1.127,0.85,0.819,0.856,1.113,0.72,0.871,0.794
Gab1 (Ab-659),1.043,0.944,0.905,1.053,0.918,1.102,1.07,1.095,0.868,1.167,0.785
HDAC1 (Ab-421),0.606,0.048,0.451,0.053,0.121,0.301,0.222,0.305,0.663,0.526,0.058
p38 MAPK (Ab-322),0.981,1.054,1.09,1.093,1.104,1.105,0.722,1.15,0.856,1.174,0.932
PKC alpha (Ab-657),0.844,1.01,1.018,0.886,0.808,0.837,0.867,1.292,1.08,1.083,0.746
PKC epsilon (Ab-729),1.018,0.977,1.058,0.849,0.942,0.927,0.861,1.328,1.018,0.919,0.684
Myc (Phospho-Ser373) ,1.11,1.185,1.283,2.222,1.935,1.787,1.682,0.789,1.117,1.063,1.056
Elk1 (Phospho-Ser389) ,0.983,1.026,1.125,1.788,2.148,1.762,1.982,0.807,0.991,0.898,0.902
Elk1 (Phospho-Thr417) ,1.016,0.896,1.403,2.464,2.22,2.535,2.404,0.974,0.903,0.977,1.129
MEF2A (Phospho-Thr312) ,0.959,0.965,1.085,1.477,1.206,1.271,1.398,0.988,0.979,1.343,1.224
MEF2A (Phospho-Thr319) ,0.864,1.054,1.301,1.243,1.042,1.409,1.656,0.818,0.845,0.995,0.914
GATA1 (Phospho-Ser142) ,1.35,1.203,1.454,1.887,2.33,2.265,2.389,1.042,1.068,1.451,1.234
GATA1 (Phospho-Ser310) ,1.094,1.064,1.009,1.284,1.308,1.337,1.152,0.706,0.824,0.83,0.871
HNF4 alpha (Phospho-Ser313) ,0.907,0.88,1.055,1.457,1.254,1.028,1.202,0.997,0.94,1.067,0.938
STAT1 (Phospho-Tyr701) ,0.853,0.965,1.28,1.13,0.918,0.996,1.021,1.071,1.158,1.75,1.332
STAT3 (Phospho-Tyr705) ,1.014,0.928,1.233,1.153,0.917,0.98,1.047,1.043,1.045,1.244,1.026
STAT3 (Phospho-Ser727) ,1.078,0.91,1.093,0.976,0.797,0.887,0.889,0.839,0.858,0.942,0.92
STAT4 (Phospho-Tyr693) ,0.955,0.727,0.792,0.304,0.365,0.329,0.451,0.518,0.644,0.503,0.792
STAT5A (Phospho-Tyr694) ,1.11,0.967,1.284,1.471,1.19,1.311,1.449,0.887,0.984,1.163,1.038
STAT5A (Phospho-Ser780) ,1.242,0.965,1.243,1.564,1.749,1.65,1.628,1.345,1.034,1.272,1.074
STAT6 (Phospho-Tyr641) ,1.032,1.023,1.042,1.394,1.294,1.279,1.304,1.035,0.863,1.274,1.178
STAT6 (Phospho-Thr645) ,0.839,0.764,0.799,1.618,1.571,1.622,1.543,0.629,0.525,0.642,0.765
CREB (Phospho-Ser133) ,0.877,0.598,0.431,0.312,0.239,0.269,0.229,0.308,0.296,0.265,0.326
ATF4 (Phospho-Ser245) ,1.03,0.971,0.995,2.732,2.204,2.383,2.147,1.158,0.8,1.126,1.022
AKT1 (Phospho-Ser473) ,0.931,1.123,1.013,1.142,0.841,0.887,0.914,1.413,1.029,1.479,1.064
Stathmin 1 (Phospho-Ser15) ,1.138,1.234,1.345,1.615,1.34,1.415,1.343,0.813,1.102,1.095,1.145
IRS-1 (Phospho-Ser307) ,1.12,1.191,1.237,1.417,1.394,1.419,1.153,0.832,1.064,0.985,1.106
Met (Phospho-Tyr1349) ,1.1,1.058,1.112,1.818,1.673,1.804,1.88,0.785,0.945,0.94,1.098
FGFR1 (Phospho-Tyr154) ,1.048,1.032,1.162,2.436,2.203,2.082,2.413,0.971,0.954,1.026,0.955
KIT (Phospho-Tyr721) ,1.137,0.902,0.971,0.647,0.503,0.613,0.616,0.658,0.693,0.743,1.078
SP1 (Phospho-Thr739) ,1.083,1.001,1.21,1.736,1.899,1.688,1.508,0.949,1.054,1.024,1.094
BRCA1 (Phospho-Ser1423) ,1.97,2.227,3.265,2.052,2.354,2.396,1.223,2.33,2.57,1.629,1.087
eNOS (Phospho-Thr495) ,1.039,1.092,1.306,2.138,2.165,2.009,1.969,1.058,1.089,1.251,1.188
CDK1/CDC2 (Phospho-Tyr15) ,0.954,0.886,0.95,0.775,0.689,0.748,0.949,0.862,0.832,0.99,1.135
p44/42 MAPK (Phospho-Thr202) ,0.78,0.76,1.086,1.433,1.568,1.317,1.39,1.104,0.903,0.953,0.855
p44/42 MAPK (Phospho-Tyr204) ,0.999,1.176,0.87,1.479,1.618,1.666,1.48,1.101,0.751,1.147,0.925
HSP27 (Phospho-Ser78) ,1.019,0.951,1.032,1.156,1.104,1.092,1.352,1.289,0.761,1.166,1.111
HSP27 (Phospho-Ser82) ,1.022,0.57,0.661,0.395,0.389,0.439,0.52,1.015,0.897,0.689,0.831
SAPK/JNK (Phospho-Thr183) ,1.013,1.011,0.978,1.266,1.138,1.277,1.354,1.109,0.783,1.271,1.117
SAPK/JNK (Phospho-Tyr185) ,1.021,1.109,1.065,1.845,1.795,1.652,1.524,1.036,0.904,1.074,0.878
NFkB-p105/p50 (Phospho-Ser932) ,1.038,1.193,1.056,1.677,1.504,1.41,1.369,1.067,0.948,1.118,1.082
p38 MAPK (Phospho-Thr180) ,1.017,1.067,1.053,1.403,1.668,1.485,1.476,1.153,0.951,1.323,1.143
p38 MAPK (Phospho-Tyr182) ,1.223,1.169,1.06,2.042,1.845,1.439,1.612,1.266,0.988,1.448,1.104
RelB (Phospho-Ser552) ,1.054,1,0.828,0.385,0.4,0.477,0.385,0.547,0.525,0.356,0.458
PTEN (Ab-380/382/383) ,0.832,1.072,0.874,0.569,0.571,0.641,0.764,0.815,1.023,0.761,0.87
PTEN (Ab-370) ,1.003,1.222,0.936,0.656,0.639,0.724,0.689,0.806,1.072,0.888,1.058
P95/NBS1 (Ab-343) ,1.011,0.972,0.92,0.637,0.627,0.834,0.707,0.967,0.864,1.005,1.072
BCL-2 (Ab-56) ,1.042,1.092,1.218,1.009,0.941,1.015,0.999,1.009,1.127,1.072,0.93
BCL-2 (Ab-70) ,0.828,0.995,1.134,0.729,0.887,0.919,0.83,1.235,1.438,1.125,0.949
NFkB-p65 (Phospho-Thr505),0.883,1.017,0.934,1.265,1.143,1.433,0.981,0.81,0.804,0.871,0.821
BAD (Ab-112) ,1.182,1.168,1.224,1.137,1.078,1.162,0.993,1.005,1.119,1.089,1.105
BAD (Ab-136) ,0.921,1.068,1.178,0.815,0.838,0.89,0.789,1.255,1.236,1.294,0.98
BAD (Ab-155) ,0.969,0.803,1.154,0.833,0.707,0.789,0.765,1.183,1.09,1.328,1.019
Estrogen Receptor-alpha (Ab-104) ,0.884,0.727,1,0.79,0.635,0.659,0.699,1.033,0.874,1.117,0.972
Estrogen Receptor-alpha (Ab-106) ,0.795,0.764,0.588,0.601,0.495,0.494,0.449,0.546,0.598,0.445,0.726
Estrogen Receptor-alpha (Ab-118) ,0.898,0.835,1.117,0.968,0.91,0.847,0.854,1.052,0.965,1.176,0.945
Estrogen Receptor-alpha (Ab-167) ,0.917,0.926,1.072,0.919,0.825,0.865,0.971,1.162,0.985,1.262,1.042
Progesterone Receptor (Ab-190) ,1.232,1.539,0.863,1.099,0.874,1,0.888,0.939,0.851,1.368,1.111
HER2 (Ab-877) ,0.922,0.974,0.972,0.944,0.89,0.881,0.848,1.04,1.041,1.243,0.915
HER2 (Ab-1221/1222) ,0.907,0.976,0.903,0.712,0.583,0.627,0.625,0.759,0.702,0.645,0.812
HER2 (Ab-1248) ,0.93,1.01,0.964,0.758,0.732,0.818,0.712,1.027,0.746,1.002,0.938
EGFR (Ab-1070) ,0.717,0.977,0.671,0.538,0.317,0.351,0.389,0.566,0.505,0.595,0.775
EGFR (Ab-1092) ,0.87,0.985,0.87,0.731,0.742,0.74,0.781,1.177,0.85,1.128,0.941
Connexin 43 (Ab-367) ,0.987,1.273,1.264,0.839,1.078,1.079,1.072,0.941,1.136,0.908,1.143
DAB1 (Ab-232) ,1.004,1.195,1.392,1.029,1.227,1.126,1.129,1.201,1.462,1.431,1.277
NFkB-p65 (Ab-311) ,0.815,0.938,1.054,0.806,2.31,1.906,2.426,0.994,1.191,1.106,0.964
GluR1 (Ab-849) ,1.135,1.094,0.796,0.595,0.585,0.643,0.553,0.536,0.642,0.515,0.875
GluR1 (Ab-863) ,0.939,1.14,1.166,1.478,1.462,1.305,1.547,0.923,1.062,1.05,1.103
HSF1 (Ab-303) ,0.97,0.976,1.01,1.62,1.161,1.365,1.374,0.821,0.924,1.058,1.001
EGFR (Ab-1110) ,0.963,1.112,1.072,1.06,1.229,1.132,1.191,0.812,0.87,0.867,1.038
MARCKS (Ab-163) ,0.875,0.982,1.274,0.864,1.168,1.196,1.278,1.205,1.185,1.249,0.998
Merlin (Ab-518) ,0.925,0.915,1.248,0.887,0.959,0.99,0.992,1.088,1.219,1.304,1.117
Synapsin (Ab-9) ,0.975,0.949,1.067,0.726,0.837,0.864,0.799,1.203,1.239,1.174,0.98
Histone H2A.X (Ab-139) ,0.996,1.007,0.931,0.603,0.582,0.657,0.558,0.733,0.845,0.715,0.889
P70S6K (Ab-411) ,0.91,0.956,1.226,0.785,0.897,0.933,0.786,1.226,1.208,1.295,0.999
Tau (Ab-422) ,1.006,1.025,0.99,1.131,1.085,1.042,0.988,1.066,0.935,1.059,0.991
Cortactin (Ab-421) ,0.92,0.934,1.016,0.89,0.736,0.767,0.795,1.181,0.909,1.314,0.985
Cortactin (Ab-466) ,0.946,0.919,1.05,0.733,0.702,0.865,0.62,1.002,0.923,1.074,0.863
CREB (Ab-129) ,0.947,0.925,1.147,0.93,0.769,0.787,0.685,1.336,1.182,1.438,1.011
DAB1 (Ab-220) ,0.934,0.888,1.061,1.057,1.116,1.094,0.903,1.064,0.854,0.995,0.791
DARPP-32 (Ab-34) ,0.766,1.089,0.926,3.303,3.061,2.804,2.608,0.837,0.712,0.732,0.926
Dok-1 (Ab-362) ,1.042,1.083,0.973,1.484,1.385,1.536,1.191,1.039,0.848,1.209,1.06
P70S6K (Phospho-Ser371),0.935,1.064,1.315,2.573,1.817,2.454,1.796,0.935,1.136,1.205,1.19
P70S6K (Phospho-Thr389),1.042,1.225,1.157,1.081,0.833,0.882,0.763,0.986,1.297,1.347,1.195
P70S6K (Phospho-Ser418),0.968,0.945,1.159,1.241,0.966,1.036,1.035,0.966,1.099,1.167,1.049
P90RSK (Phospho-Thr359/Ser363),0.783,0.458,0.679,0.701,0.659,0.767,0.566,0.58,0.74,0.833,0.61
P90RSK (Phospho-Ser380),1.052,0.944,1.179,1.123,1.093,1.093,0.972,1.068,1.129,1.162,1.049
P90RSK (Phospho-Thr573),1.001,0.865,0.818,1.549,1.19,1.445,1.193,0.973,0.863,1.1,1.258
PAK1 (Phospho-Thr212),0.89,0.708,0.872,0.864,0.723,0.763,0.765,0.846,0.839,0.89,0.789
PAK1/2/3 (Phospho-Thr423/402/421),0.985,1.189,1.138,1.195,1.314,1.192,1.108,1.061,0.977,1.205,0.938
PAK1/2/3 (Phospho-Ser141),1.333,0.977,1.168,2.111,1.627,1.508,1.313,1.1,0.82,1.121,0.916
PEA-15 (Phospho-Ser116),0.922,1.079,1.124,1.038,1.159,0.986,0.931,0.955,0.965,1.136,0.854
PKA CAT (Phospho-Thr197),0.964,0.904,0.892,1.612,1.456,1.459,1.469,1.046,0.831,1.2,1.053
PP2A-alpha (Phospho-Tyr307),1.122,0.843,1.043,1.427,1.048,1.154,1.067,1.122,0.715,1.082,0.918
Raf1 (Phospho-Tyr341),0.888,0.956,0.857,1.068,1.031,0.945,1.061,1.197,0.829,1.293,0.967
Raf1 (Phospho-Ser621),0.988,0.987,0.83,1.097,0.918,0.94,0.826,1.074,0.865,1.084,0.944
RyR2 (Phospho-Ser2808),1.079,0.947,0.828,1.381,1.573,0.984,1.067,1.2,0.771,1.405,0.963
SYK (Phospho-Tyr323),1.072,1.095,1.091,1.103,0.971,1.091,0.793,1.132,1.015,1.335,0.996
Synapsin (Phospho-Ser62),1.251,1.059,1.169,1.385,1.311,1.106,1.039,1.38,1.103,1.379,1.064
Tuberin/TSC2 (Phospho-Ser939),0.934,0.95,0.83,1.036,0.784,0.874,0.866,1.14,0.842,1.129,0.875
Tuberin/TSC2 (Phospho-Thr1462),0.886,0.973,0.827,0.958,0.734,0.747,0.903,1.291,0.786,1.279,0.918
VAV2 (Phospho-Tyr142),0.748,1.161,0.815,0.751,0.597,0.789,0.615,0.635,0.674,0.556,0.979
Catenin beta (Phospho-Tyr489),0.966,1.14,1.032,1.625,1.092,1.182,1.502,0.851,1.151,1.085,1.085
CREB (Phospho-Thr100),1.02,1.221,0.907,1.036,0.694,0.931,0.953,0.978,1.104,1.219,1.128
Ezrin (Phospho-Tyr478),0.838,1.057,0.891,1.38,1.398,1.28,1.208,0.833,0.893,1.02,0.804
p53 (Phospho-Ser366),0.892,0.833,0.809,1.343,1.34,1.652,1.456,1.034,0.757,1.068,1.053
p53 (Phospho-Ser378),0.931,1.061,0.965,1.239,1.141,1.233,1.114,0.862,0.985,0.874,1.134
Rb (Phospho-Ser608),1.13,1.118,1.157,1.902,1.603,1.618,1.591,1.018,1.048,1.107,1.105
SRF (Phospho-Ser77),1.021,1.065,0.972,1.474,1.092,1.1,1.196,1.048,1.087,1.206,1.092
Trk A (Phospho-Tyr701),1.023,0.999,1.042,1.218,1.171,0.966,1.044,0.908,0.879,0.885,0.944
Trk A (Phospho-Tyr680/681),0.93,0.923,0.995,0.998,0.901,0.91,0.89,1.226,1.097,1.392,1.052
Abl1 (Phospho-Thr754/735),1.027,1.027,1.006,1.155,0.952,0.982,0.965,1.131,0.958,1.265,1.153
B-RAF (Phospho-Ser446),0.722,0.947,0.911,0.899,0.816,0.616,0.642,0.897,0.663,1.061,0.927
CaMK2-beta/gamma/delta (Phospho-Thr287),0.957,0.946,0.841,1.076,0.905,0.889,1.015,1.159,0.876,1.191,0.995
MAP3K1/MEKK1 (Phospho-Thr1381),0.966,0.976,0.909,0.914,0.837,0.737,0.678,1.089,0.848,1.277,1.005
MKK3/MAP2K3 (Phospho-Thr222),0.899,0.98,1.049,0.701,0.608,0.63,0.598,1.122,1.03,1.215,1.041
MKK7/MAP2K7 (Phospho-Ser271),0.949,0.72,1.041,1.259,1.295,1.195,1.327,1.03,0.65,1.18,0.969
MKK7/MAP2K7 (Phospho-Thr275),0.981,0.689,0.599,1.178,0.967,1.31,1.114,1.167,0.686,1.003,0.84
MSK1 (Phospho-Ser212),2.137,0.916,2.527,1.272,1.324,1.876,1.551,2.023,0.686,1.223,2.693
MSK2 (Phospho-Thr568),0.991,0.971,0.727,1.958,1.793,1.503,1.782,0.982,0.649,0.997,0.956
VE-Cadherin (Phospho-Tyr731),0.746,1.599,1.313,0.908,0.673,0.818,0.685,1.052,0.972,0.616,0.609
WWOX (Phospho-Tyr33),0.893,0.902,1.013,1.278,1.241,1.665,1.349,0.795,0.795,0.919,0.906
Claudin 3 (Phospho-Tyr219),1,0.909,1.149,1.07,0.992,0.798,0.705,0.863,0.968,0.891,0.973
Claudin 6 (Phospho-Tyr219),0.908,1.004,0.986,0.808,0.726,0.721,0.745,0.912,0.99,0.977,1.06
Claudin 7 (Phospho-Tyr210),0.912,0.997,0.828,0.655,0.667,0.664,0.714,0.883,0.852,0.832,0.959
PLD2 (Phospho-Tyr169),0.957,1.067,0.892,1.414,1.044,0.988,1.179,0.938,0.912,1.035,1.033
AMPK1/AMPK2 (Ab-485/491),0.871,1.04,1.031,0.731,0.729,0.769,0.764,0.927,1.138,1.081,1.145
MKK6/MAP2K6 (Ab-207),1.01,1.138,0.928,0.556,0.504,0.553,0.474,0.854,0.841,0.867,0.981
p38 MAPK (Ab-180),0.923,0.866,1.241,0.947,0.831,0.899,0.822,1.229,1.205,1.358,1.118
Catenin beta (Ab-33),0.922,1.038,0.967,0.783,0.761,0.772,0.729,0.999,0.951,1.112,0.994
P70S6K (Ab-421),0.903,0.966,1.055,0.67,0.611,0.688,0.59,1.149,1.093,1.119,0.992
GSK3 alpha/beta (Ab-216/279),0.837,0.935,1.009,0.762,0.727,0.794,0.669,1.261,1.126,1.278,1.016
Caspase 8 (Ab-347),1.022,1.037,0.854,0.816,0.669,0.69,0.587,1.04,0.855,1.114,1.082
CDC25B (Ab-323),1.108,1.216,1.235,0.946,1.053,0.912,0.873,1.289,1.145,1.358,1.229
Cyclin B1 (Ab-126),1.058,0.752,1.183,0.966,0.765,0.701,0.816,0.786,0.754,0.769,0.979
Cyclin E1 (Ab-395),0.9,0.962,0.926,0.67,0.555,0.577,0.544,0.982,0.901,1.071,1.006
KSR (Ab-392),1.076,1.006,0.936,1.46,1.278,1.18,1.086,1.256,0.998,1.339,1.143
PLC beta3 (Ab-1105),1.058,0.934,0.975,0.896,0.71,0.722,0.664,1.069,0.891,1.117,0.889
STAT5B (Ab-731),0.976,1.078,0.922,1.033,0.836,0.781,0.863,1.219,0.968,1.177,1.032
PKC pan activation site,1.067,1.154,1.129,1.709,1.106,1.164,1.209,1.011,1.103,1.188,1.262
PKC zeta (Ab-560),0.859,0.907,1.004,0.9,0.805,0.842,0.762,0.837,1.087,1.015,1.068
PKD1/PKC mu (Ab-205),0.908,1.196,1.212,0.836,0.898,1.031,0.839,1.131,1.334,1.234,1.242
PKD1/PKC mu (Ab-463),0.907,1.269,0.879,0.76,0.774,0.795,0.718,0.756,0.979,0.946,0.986
PKD2 (Ab-876),0.931,1.167,1.309,0.982,0.894,1.03,0.881,1.266,1.486,1.529,1.326
Rb (Ab-811),0.926,1.195,1.128,0.696,0.744,0.685,0.659,0.944,1.243,1.023,0.995
Rb-like-2 (RBL2) (Ab-952),0.922,1.092,1.231,0.954,0.871,0.937,0.896,1.172,1.398,1.354,1.213
AKT1 (Ab-326),0.973,1.133,1.005,0.859,0.783,0.774,0.775,0.909,0.997,1.054,1.154
BAD (Ab-91/128),0.944,0.987,0.918,1.239,1.096,1.081,1.159,1.056,0.922,1.072,0.959
BAD (Ab-134),0.946,0.966,1.21,0.767,0.719,0.747,0.616,1.18,1.111,1.14,0.973
Calmodulin (Ab-79/81),0.547,0.682,0.506,0.583,0.761,0.675,0.613,0.959,0.795,0.686,0.553
CaMK1-alpha (Ab-177),1.007,0.936,0.899,1.094,1.055,0.902,0.927,0.961,0.822,0.899,0.858
CaMK4 (Ab-196/200),0.909,0.973,1.161,0.88,0.921,0.795,0.869,1.208,1.129,1.14,1.024
Caspase 9 (Ab-153),0.522,0.854,0.431,0.753,0.582,0.604,0.556,0.691,0.463,0.862,1.037
Caspase 9 (Ab-144),0.974,1.128,1.196,0.887,0.803,0.766,0.676,1.373,1.115,1.416,1.006
