,Quiescent 1h/control,Quiescent 6h/control,Quiescent 24h/control,Quiescent 96h/control,Rapamycin 1h/control,Rapamycin 6h/control,Rapamycin 24h/control,Rapamycin 96h/control,IGF 0.5h/control,IGF 1h/control,IGF 3h/control,IGF 6h/control,IGF 24h/control,Apoptosis 0.5h/control,Apoptosis 1h/control,Apoptosis 3h/control,Apoptosis 6h/control,Senescent 1h/control,Senescent 6h/control,Senescent 24h/control,Senescent 96h/control
GRB10/Growth factor receptor-bound protein 10 (Phospho-Tyr67),0.016595321,-0.113209191,0.012215953,0.837291542,-0.079701463,1.072044865,-0.076136788,-0.086812891,0.310825579,0.663457419,0.335897392,0.381992469,0.35931257,0.041088049,-0.053396817,-0.395656692,0.002061221,0.509746787,0.30714464,-0.057832833,-0.231563056
GTPase activating protein (Phospho-Ser387),-0.050189896,0.207292359,-0.033695762,0.544981841,-0.089291211,0.540751634,-0.147405758,-0.091368622,0.085497,0.151330819,0.418789343,1.797741747,-0.044018432,0.581298038,0.808273066,-0.117578806,0.094080822,0.694248409,0.687025239,-0.162486296,0.048690989
HSP90 co-chaperone Cdc37 (Phospho-Ser13),0.018615508,0.45421663,0.118982539,0.073677761,-0.06969306,0.318334793,-0.180199022,-0.054602433,0.398549596,0.076660116,0.384354764,0.200824669,-0.102007547,0.354511302,-0.012340504,-0.497826825,-0.004043632,0.211652151,0.187999804,-0.185970946,0.031462633
IkB-alpha (Phospho-Tyr305),0.343862092,0.424401042,0.558402708,0.26408962,-0.022595324,0.915424645,-0.128766726,-0.018151966,0.17094293,0.707142177,1.029019667,2.637283279,0.53969848,1.80762601,1.049990429,0.555984199,0.554110756,1.537643399,0.79065569,0.621931069,0.760566989
MKP-1 (Phospho-Ser359),-0.643217922,0.178342268,0.051044177,0.205899963,-0.138154856,0.495021632,-0.32000056,-0.301485972,0.674721445,0.155309222,0.210247366,0.841523376,0.036685927,0.432021842,0.00212834,-0.221809653,0.033533381,1.614450333,0.186986863,-0.006441639,-0.353015916
NFkB-p100/p52 (Phospho-Ser872),17.69612728,3.120714648,4.821852825,11.83502503,0.053550697,1.528821638,0.155670681,1.28951004,5.102232281,8.295323225,6.872202398,0.366880579,0.321930294,2.166447144,12.16481111,8.53239473,6.565351166,15.08614275,4.295196629,0.200904581,2.921167868
PAK1/2 (Phospho-Ser199),0.107196252,0.132165194,0.018292381,0.533176616,-0.069863791,0.227657695,-0.034909876,0.25319182,0.071009799,0.278243057,1.174086778,0.652579211,-0.019836952,0.735681978,0.152446764,0.037332544,0.115580847,0.407375435,0.074417269,0.551555855,0.165963351
RapGEF1 (Phospho-Tyr504),0.265565394,0.711867967,0.109051208,0.766519924,0.013367303,0.564636125,-0.092974814,-0.104641557,0.752828062,0.536237655,1.499668356,0.782728935,0.988797473,0.957569811,0.173692004,-0.370061716,-0.045533661,1.273545382,0.270946722,0.489874812,-0.241559611
MAP3K7/TAK1 (Phospho-Thr184),0.030569089,0.698691968,0.148859103,0.469651755,-0.144963176,0.276439627,-0.287157625,-0.286031211,0.32742425,0.149691973,1.447446634,0.557428065,0.547677211,0.646879269,0.31236029,-0.255922911,-0.004211361,0.943898968,0.242273683,0.1273444,-0.344748541
eNOS (Phospho-Ser615),0.118553556,0.391131989,-0.110847328,-0.0109525,0.442228198,0.027823574,-0.247245318,-0.231680217,-0.121724367,-0.096787376,0.406020965,0.183432349,0.403804801,-0.077044511,-0.08898784,-0.409242287,-0.205618404,0.090479431,0.016935823,0.029584951,0.798250195
IKK-gamma (Phospho-Ser85),-0.201513983,-0.092206316,-0.264945954,-0.3082046,0.147475367,-0.010704271,-0.034330174,0.094420324,0.155505454,0.043604595,0.767912606,0.118272047,-0.090524572,0.287915967,0.048278159,0.203641705,0.161911179,0.21752125,-0.05166258,0.122894619,0.144284634
mTOR (Phospho-Thr2446),-0.069140795,-0.340242786,-0.073692954,-0.467203073,-0.296091097,-0.266170262,-0.018516902,-0.189081391,-0.082659037,-0.102372417,-0.584437021,0.743155633,-0.419317962,-0.414853632,-0.578518965,0.107590958,-0.104990294,0.248665425,-0.414462081,-0.620457355,0.093649362
IGF2R (Phospho-Ser2409),0.036271373,-0.042762729,-0.176637935,-0.847037054,-0.443752257,-0.202940988,1.648687978,-0.253387813,-0.384730963,-0.463826396,0.219242507,3.665023516,0.124824245,0.528636605,0.09790851,0.287997091,0.153079425,0.228835235,-0.029292405,0.095464649,-0.129698009
PI3-kinase p85-subunit alpha/gamma (Phospho-Tyr467/Tyr199),0.765432827,-0.447643467,0.704635985,0.931516709,0.661151205,0.636576895,1.786556192,0.796122074,0.930308258,0.204874389,0.261810084,1.916179443,0.329774769,0.577915576,1.316314409,1.105859804,0.08604136,0.679562673,0.397504334,0.447082249,1.374133284
PI3-kinase p85-alpha (Phospho-Tyr607),-1.999510623,-2.620879093,-1.575537297,-2.769854189,-1.479008103,-1.680761221,-1.193233335,-1.309912953,-1.914125881,-1.784479257,-2.03637626,-2.064348607,-1.73124742,-1.706899673,-1.827655814,-1.678706261,-1.130572746,-2.111513425,-1.540698209,-1.640194869,-2.755474852
RGS16 (Phospho-Tyr168),-2.262968638,-2.883860156,-1.809301715,-3.205387216,-1.706804164,-2.007417185,-1.38718169,-1.481744991,-2.207176525,-2.040580667,-2.42593658,-2.614248899,-2.14031972,-1.830653983,-2.181799595,-1.95810489,-1.414682409,-2.611719508,-1.843960844,-1.901181803,-3.158871194
Rho/Rac guanine nucleotide exchange factor 2 (Phospho-Ser885),-0.623832191,-0.308752133,-0.358937537,-0.74542481,-0.324216441,-0.289292462,-0.27670788,-0.22853895,0.238784095,-0.412779505,-0.083126357,0.815329212,-0.421096831,0.667941853,-0.470593138,-0.433672406,-0.222600386,-0.194544611,-0.272479226,-0.641945849,-0.416975486
NMDAR2A/B (Phospho-Tyr1246/1252),-0.143380539,-0.81459622,-0.486937265,-0.309945427,0.33649892,-0.239380509,-0.104452985,0.634522158,0.286753024,0.154813511,-1.217310008,-0.244183149,-1.201382328,-0.634696168,-0.790570005,0.42316473,0.340126408,-0.562623921,-0.431913819,-0.766600104,0.101444123
VEGFR2 (Phospho-Tyr1054),-0.015816782,-0.388132396,-0.034739444,-0.088843958,0.084350776,-0.015051255,0.58959587,0.593431498,0.349781955,0.368201199,-0.365968028,0.07181797,-0.192615803,-0.080387357,0.270244541,0.710010311,0.161265927,0.070285368,-0.01939737,-0.218113512,1.145854917
Vinculin (Phospho-Tyr821),-0.188032579,-0.416283253,-0.125653553,-0.514750338,-0.092595415,0.094889242,0.206187868,0.335817266,0.043571031,0.177189743,-0.560784321,-0.119952498,-0.382438117,-0.392547913,0.011973904,0.877137356,0.219004766,-0.132444384,-0.10784361,-0.13086029,0.887964357
HRS (Phospho-Tyr334),-0.203561758,-0.221894267,-0.125175699,-0.432064891,-0.132060943,0.109057417,0.120489816,0.107852681,-0.002003998,0.168220949,-0.205397582,0.288454401,0.093724716,-0.038197409,-0.06824909,-0.005243265,-0.053849177,0.139421482,-0.037054709,-0.141872614,0.370925284
IL-10R-alpha (Phospho-Tyr496),-1.209805676,-0.793452724,0.200642546,-1.04684241,0.160553021,-0.491038337,0.094289011,0.499174822,-0.284510973,-0.385881315,-0.642324657,-0.329505819,-1.199683858,-1.010475476,-0.363649134,-0.589611394,0.438632526,-1.132806242,-0.109507393,-0.537627966,0.830664494
IL-13R/CD213a1 (Phospho-Tyr405),-0.584617875,-1.190582327,-0.221868383,-0.918619151,-0.03252018,-0.540579592,0.622626611,0.294509151,-0.058839531,-0.266012323,-1.503667225,-0.652876142,-0.831626672,-0.79184909,-0.712156982,1.054405693,0.483386489,-1.081034333,-0.750882417,-0.932570833,0.506756548
IL-4R/CD124 (Phospho-Tyr497),0.187228735,0.058692535,0.292804078,-0.596558959,0.015362847,0.248896536,0.718516757,0.675107936,0.862345268,0.351596474,-0.359243152,0.385182059,-0.096267619,-0.432109119,0.203003547,1.275852567,0.613820459,0.202646369,-0.321806946,-0.163782785,1.19143708
IL7R/CD127 (Phospho-Tyr449),-0.196307224,-2.026499393,-1.038224163,-2.758890337,-1.181875213,-1.444245361,-1.079969479,-0.944320181,-1.185519818,-1.582934621,-2.416712658,-2.499700961,-1.095493857,-1.769525101,-1.214180911,-0.976823821,-0.372483558,-2.383222147,-0.927993663,-1.773020171,-1.260739569
Integrin beta-4 (Phospho-Tyr1510),-0.278810352,-1.24491277,-0.464400315,-0.581672715,-0.107576802,-0.130619391,-0.158373497,0.15307208,-0.246042109,-0.272275249,-0.764766573,0.067972971,-0.365322353,-0.488517245,-0.592324788,0.012124032,-0.071712257,-0.35480439,-0.540435756,-0.392877788,0.361099627
Kv1.3/KCNA3 (Phospho-Tyr135),-0.174316974,-1.159322454,-0.074761306,-0.606901338,0.282833669,-0.238924322,0.214300839,0.358661893,-0.067043941,-0.211444606,-1.183646371,-0.258358427,-0.60718256,-0.619031514,0.346265243,0.072743014,0.324439203,-0.478068377,-0.116275125,-0.281713555,0.913535574
Kv2.1/Kcnb1 (Phospho-Tyr128),0.229103383,-0.375293885,-0.135575715,-0.90688863,-0.137540904,-0.22988993,-0.182473136,-0.227342805,-0.561321909,-0.410699866,-0.33385357,-0.421622739,-0.305311688,-0.762792808,-0.000503017,-0.197232093,-0.111997686,-0.312550335,-0.339823286,-0.444969641,-0.257147069
CDK5 (Phospho-Tyr15),0.07763298,-1.256253614,-0.433664954,-1.260114559,0.081301702,-0.757307862,0.145694087,0.106592509,-0.934714999,-0.659154641,-1.156029063,-1.106624825,-1.002308818,-1.008478736,-0.545249364,1.00712764,0.152734269,-0.72773697,-0.659531592,-0.451459667,0.413196693
STAM2 (Phospho-Tyr192),0.013402634,-0.345727002,0.001055215,-0.691575942,-0.013630045,-0.353314637,0.680207842,0.546797527,-0.511843384,0.133020998,-0.636664721,-0.186364004,-0.122519768,-0.276271984,0.659328586,0.701471352,0.241565354,-0.241470994,0.002489737,0.075777367,1.514229762
AXL (Phospho-Tyr691),-0.264463494,0.165962282,-0.087652767,-0.932820731,-0.477137351,0.023945351,-0.112120695,-0.215471217,-0.215385281,-0.14064482,-0.308358142,1.144780942,0.496384852,0.71784833,-0.081459916,0.553941989,0.224994549,0.269202824,-0.325381196,0.25587844,-0.125205204
FER (Phospho-Tyr402),1.188980196,0.451014065,-0.169974503,-1.201243241,-0.136695507,-0.810516197,-0.237755297,-0.561144225,-0.965567766,-0.628787344,-1.440752333,-1.250456029,-1.893923108,-1.915835771,-0.708022459,-0.207844895,0.052497691,-0.775715997,-1.495211361,-0.598252686,0.569441893
FLT3 (Phospho-Tyr842),-0.856503534,-0.788147443,-0.702215561,-1.143096378,-0.424642169,-0.742448584,-0.017664035,0.268907516,-0.580127758,-0.678435158,-1.061935335,-1.073900523,-0.499490462,-0.524977714,-0.082385958,0.488812153,-0.010776089,-0.71992672,-0.364000155,-0.63873515,0.032999502
FLT3 (Phospho-Tyr969),-1.847242838,-2.734696867,-1.541123995,-2.981836059,-1.456016425,-1.843712629,-1.005015524,-1.090445058,-2.027095264,-1.551301515,-2.228380294,-1.795132439,-1.793265534,-1.869816429,-1.454156177,-0.643284838,-0.960491117,-2.351092494,-1.548575711,-1.448903982,-2.097183871
ICK (Phospho-Tyr159),-1.706899663,-2.384444111,-1.434531359,-2.682454792,-1.307482328,-1.604876591,-0.896383578,-0.991633344,-1.709081504,-1.560710898,-2.193041816,-2.060917939,-1.641271138,-1.926372222,-1.670810054,-1.267374246,-1.054049662,-2.057080674,-1.463338433,-1.44506215,-2.092782656
BLNK (Phospho-Tyr84),-0.053726818,-0.361621679,-0.006355332,-0.650200535,-0.15428924,-0.527242334,-0.099129601,0.312067036,-0.352695687,-0.20931087,-0.83409176,-0.130375076,-1.098390098,-1.111868659,0.329193047,0.651467306,0.238994562,-0.715552227,-0.306498801,-0.211485866,0.721856206
PLC beta3 (Ab-537),0.184247573,1.026058655,0.494931556,0.589457588,0.395445453,0.923932164,0.303591725,0.154935312,0.640679247,0.739318127,0.771836077,1.079926887,0.545890907,1.121241805,0.712786576,0.408751958,0.232324191,1.073943731,0.610472384,0.076291784,0.43529118
Ras-GRF1 (Ab-916),0.788976082,0.588179518,0.52048402,0.588811972,0.104205874,0.251039372,0.242512557,0.348591569,0.352075909,0.228945346,-0.653844913,-0.336390741,0.06377809,-1.068867304,1.22918184,0.848828535,0.907958729,0.467726,-0.477262031,-0.323447956,0.479323312
14-3-3 theta/tau (Ab-232),-0.287747409,-0.310281113,-0.114381353,0.73780064,-0.436753259,-0.009609237,-0.313437694,-0.288085058,0.195690147,-0.162180534,-0.227099202,-0.428701385,-0.458307894,-0.10703764,-0.457254741,-0.734771731,-0.342831529,-0.049212591,-0.149095967,-0.6787077,-0.817332992
14-3-3 zeta/delta (Ab-232),1.039352606,1.021926697,1.137038129,2.420481985,-0.123970867,0.024257672,0.042574193,0.842977977,-0.186512044,1.883603468,-1.041727101,-1.214648046,-1.087893573,-1.049735272,0.521057558,0.437596318,0.491931813,0.705004531,0.161503932,-0.597936855,2.574229091
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (PFKFB2)(Ab-483)",-0.215235819,0.273950594,1.561110611,0.104615213,-0.141299138,0.772682394,-0.042337145,-0.174689724,0.48785686,0.501314947,0.236052331,0.385555883,0.192080391,0.64721579,0.091828258,-0.208425604,-0.136736641,0.562119501,0.36131258,0.021123865,-0.169614239
Actin Pan (a/b/g)(Ab-55/53),0.732170405,-1.053084991,0.528675978,2.358134336,-0.205415813,-0.835448925,-0.445148489,-0.267554094,0.08213721,-0.921104467,-0.204187236,-1.555521728,-0.3506621,-1.18211547,0.639151158,-0.790163554,0.539814593,-0.103363707,-0.333557132,-0.516108966,-0.630825534
A-RAF (Ab-301/302),-0.166922898,0.600936414,0.179663247,0.527494848,-0.100378339,0.560009366,0.022437717,0.022656421,0.996203809,0.380023339,0.239467456,0.066610466,0.332360218,0.352646935,0.104701334,-0.270444236,-0.216134307,0.792151437,0.142034386,-0.141454696,0.033148122
ATRIP (Ab-68/72),0.897127839,0.37010244,0.371994701,-0.100214994,-0.087810692,-0.268559582,-0.074047147,0.117078003,-0.515526218,-0.677608417,-0.844201398,-0.746777406,-0.199320478,-0.465697809,0.285723514,-0.882996406,0.266284403,0.251662028,-0.059274164,-0.20607013,0.976789179
BAX (Ab-167),0.100870638,0.827693702,0.166625987,0.922506596,-0.164217877,0.862939166,0.034217614,-0.00077374,0.728976094,0.441023953,1.002504788,-0.26573312,0.937989569,1.306486865,0.32586551,-0.395536328,-0.002401895,1.13122909,0.506680279,0.551719134,-0.073792039
BCL-2 (Ab-69),-0.083206187,0.665750248,0.081393761,0.833253486,-0.120011963,0.193624012,0.045364233,-0.046946209,0.512565172,0.363046963,0.853053792,0.321530198,0.562386552,1.029928754,0.068293492,-0.501005084,-0.043903142,1.114833195,0.38539445,0.31266269,-0.163902422
BCL-XL (Ab-47),0.141681166,-1.280029179,-0.253541742,-1.424179738,-0.629075113,-1.261681855,-0.967606297,-1.106880251,-1.199512474,-1.180315294,-1.611392863,-1.824760843,-0.916792138,-1.925621351,-1.408055803,-1.540066997,-0.23822222,-1.749874572,-1.188787854,-1.521570094,-2.317168855
B-RAF (Ab-598),0.198473905,-1.808628625,-0.968551207,-0.491781769,-0.839651376,-1.477674283,-0.934098469,-1.118474262,-1.957225915,-1.891376317,-1.857859691,-2.273135668,-1.937577798,-1.770927736,-1.911613877,-1.646913344,-0.486711752,-1.700842551,-1.618044785,-1.407785237,-1.427462389
B-RAF (Ab-601),-0.146635002,0.49005523,0.233133865,0.791456866,0.343714343,0.214401278,-0.257773446,-0.143426195,0.547346763,0.161441641,0.581794909,-0.656152828,0.790188549,0.060407017,-0.255409502,-0.478437706,-0.323324764,0.839578331,-0.039639226,0.038659161,-0.359489851
Chk2 (Ab-383),0.356983011,-0.385627918,-0.049215675,-0.325855976,-0.141556655,-0.733532851,-0.517512696,-0.526501786,-1.043721658,-1.010580906,-1.493843565,-1.41221026,-0.68834538,-1.213529268,-0.917275722,-0.830140569,-0.35745668,-0.852236482,-0.780579139,-0.88275856,-1.052257229
Gab1 (Ab-659),-0.36563452,-0.26232684,-0.248534118,-0.239262509,-0.210355646,-0.458871181,-0.207148486,-0.168207857,-0.520763259,-0.479027433,-0.382922296,-0.045809016,-0.446160522,-0.115259806,-0.345691724,-0.406187069,-0.266159138,-0.218644337,-0.08152991,-0.371162626,-0.009277776
HDAC1 (Ab-421),19.81352107,15.94756793,30.19582694,-0.497154978,31.81399994,29.08741027,31.07533095,28.68331659,20.84067688,13.15406284,11.82895244,12.98443481,13.27966157,16.7342228,18.79430448,26.27936975,32.15402891,13.14404776,29.59072922,26.88936148,-1.356249585
p38 MAPK (Ab-322),-1.648944904,-2.178777101,-1.303604162,-2.190085001,-1.26556868,-1.381566475,-1.062546569,-1.1091819,-1.630372109,-1.428069705,-1.8879386,-2.06226289,-1.661342838,-1.397767909,-1.750871771,-1.53987856,-1.023950561,-1.693271743,-1.153211639,-1.44652206,-2.3527887
PKC alpha (Ab-657),-2.354574253,-3.055011389,-1.925432232,-3.369780809,-1.784842446,-2.063879336,-1.447116583,-1.555987236,-2.33324483,-2.133173918,-2.613333826,-2.797911629,-2.247422856,-2.460249257,-2.301811312,-2.025312403,-1.499146645,-2.671934508,-1.940032848,-1.955208367,-3.299409067
PKC epsilon (Ab-729),-0.435397938,1.633477026,-0.208471184,-0.328191223,-0.300754858,-0.355749809,-0.283736547,-0.32799123,-0.252442366,-0.393315725,-0.458609742,-0.436692763,-0.220256688,-0.248955296,-0.235351339,-0.090586564,-0.235919754,-0.167614974,-0.194181487,-0.443968495,-0.542846481
Myc (Phospho-Ser373),-0.029172516,6.589907645,0.470142959,0.032125942,0.085763103,-0.022805963,0.106088872,0.384737119,-0.033996266,0.086658687,-0.070359418,0.716704482,-0.045393345,0.499784819,0.787375338,0.31311945,0.254070993,0.063097359,0.359886163,0.114000607,0.278029466
Elk1 (Phospho-Ser389),0.001090926,0.835215989,0.074064949,-0.466409082,-0.175109676,-0.245718436,-0.07987988,-0.049080152,-0.193145614,0.143964033,0.070835211,0.763267199,-0.524388309,0.443701534,0.326384722,0.350963157,0.284629097,-0.099978428,-0.17243271,0.023873472,0.00846398
Elk1 (Phospho-Thr417),0.59042747,0.328199569,1.083122491,-0.148743812,0.839380005,0.10356081,1.194690941,1.037074196,0.980431643,0.313167212,-0.746312814,0.385698048,-0.031698942,1.238780472,0.842278385,2.011097721,0.914611683,1.177848444,0.879775214,0.218657762,2.218588241
MEF2A (Phospho-Thr312),-0.222801527,0.099626574,0.016176547,0.142144831,-0.154718461,0.404361834,0.127380268,0.186594663,0.208604304,0.270044402,-0.1284701,-0.043370269,0.092498962,0.964414307,0.553710655,0.553130111,0.215851403,0.471196677,0.193113021,-0.004177106,0.170894587
MEF2A (Phospho-Thr319),0.321077966,1.220128313,0.719782348,0.211611625,0.115251078,0.607902012,0.625494012,0.585981497,0.604058697,0.409388237,0.351561188,0.798443066,0.853464618,1.875432474,1.612995239,2.061632258,0.288556022,0.847979965,0.84449367,0.3982201,1.732829702
GATA1 (Phospho-Ser142),-0.334243452,0.740659084,0.580330477,0.328289263,0.351745273,0.740515445,0.473484314,0.237460632,1.040296261,1.200593284,1.278363651,1.213212499,0.900506106,1.512194013,2.046288181,0.907123382,0.665831069,1.531402507,0.863434257,0.958377944,1.737470762
GATA1 (Phospho-Ser310),0.356805553,0.253841879,-0.214100616,-0.098993022,0.081236443,0.146281097,0.495809383,0.354895852,0.27521821,0.032104403,0.312098876,1.143417451,0.004615907,0.670549102,0.88685096,1.577063472,0.454562905,0.294583004,0.119924245,0.380462805,0.842267805
HNF4 alpha (Phospho-Ser313),0.638914409,0.108425407,-0.018936214,0.03927896,0.035217521,0.20948564,0.325013447,0.290936347,0.192245431,0.137643299,0.479311929,0.71826261,-0.061108504,3.117637388,0.33932861,0.839974115,0.109035002,-0.065417301,0.533780883,0.707325929,0.495921959
STAT1 (Phospho-Tyr701),0.183868771,0.041106667,-0.059327312,0.621917658,0.111287876,0.124936558,0.462661497,0.539024966,0.600728415,0.398400992,0.072844895,-0.49441734,0.07217365,2.842139005,0.339448249,0.483156318,0.381931921,0.372437058,0.159052971,0.115829405,1.635737541
STAT3 (Phospho-Tyr705),0.776788996,0.760424491,1.117000161,0.804173802,0.202981375,0.599540392,0.926257121,0.490882006,0.332902474,1.539997323,-0.12073102,0.007828529,0.515234022,3.904203763,1.483093159,2.334627447,0.395375448,0.944258112,0.77401139,0.605151592,2.116691175
STAT3 (Phospho-Ser727),-0.170338049,-0.180735278,-0.251374941,-0.101079197,-0.207380089,-0.243411434,-0.191924028,-0.107644578,0.042077414,0.146620388,0.633350397,0.62525076,0.070293983,0.571774613,0.188359785,-0.052311674,-0.097022127,-0.238631938,-0.106661779,-0.148688346,0.036203041
STAT4 (Phospho-Tyr693),-0.075322567,0.171054089,0.163889634,0.284917426,0.056880282,0.051036373,0.133720574,0.12584824,0.194063935,0.08921902,-0.267607364,-0.428707416,0.384776938,0.846376098,0.643774337,0.095517557,-0.169677254,0.636206375,0.403072097,0.152703385,0.432693357
STAT5A (Phospho-Tyr694),0.021284213,0.518435455,0.030585227,0.466445445,0.052639585,0.286211031,0.117124611,0.12952229,0.738319838,0.354008313,0.454402899,0.12909207,1.162563225,0.551444997,0.067056395,-0.089355505,-0.075546855,0.732691332,0.402347753,0.95882942,0.308153643
STAT5A (Phospho-Ser780),0.042075672,0.371165518,-0.203198279,0.179037609,-0.022548768,0.183104318,0.336018653,0.226146887,-0.238373135,0.109338052,-0.303671261,1.050517282,0.420194333,1.004712282,0.473844844,0.43273807,-0.003575798,0.68194681,0.145403863,0.292241298,2.605264175
STAT6 (Phospho-Tyr641),0.101951851,0.338895744,0.168229258,0.610586095,0.071553055,0.275889562,0.196956227,0.189369978,0.42414919,0.333419357,-0.209767253,0.357440174,0.810754484,0.729391265,0.546014632,0.329118844,0.110148048,0.572045798,0.569108849,0.372276829,0.643256057
STAT6 (Phospho-Thr645),0.083537513,0.321460423,0.655774083,0.15778033,0.002395071,0.111159798,0.583704782,0.206132084,0.596468299,0.12663367,-0.625353653,-0.289313857,0.051916779,-0.467230899,0.174229209,0.314864493,0.091733329,0.105669681,0.218497475,-0.135456703,0.438817232
CREB (Phospho-Ser133),-0.139794442,-0.209901018,-0.230454152,-0.272013398,-0.199006845,-0.084651554,-0.017912337,-0.064751792,-0.189960505,0.120213025,0.320737637,0.544502611,0.334182703,0.42705107,0.118530124,0.482238143,-0.152476505,0.237084814,0.018341394,0.169604229,0.106357967
ATF4 (Phospho-Ser245),-1.348269965,-1.762400383,-1.017127484,-1.61608415,-0.963950236,-1.217006183,-0.647059329,-0.724152066,-1.042524211,-1.162092133,-1.519085633,-1.861902207,-1.4943637,-1.527518569,-1.284276681,-0.936791252,-0.655062937,-1.701305559,-1.21232887,-1.080137727,-1.539413688
AKT1 (Phospho-Ser473),-0.056742336,0.265680166,0.434940584,-0.158868522,0.007374795,-0.118615497,0.301900322,0.240732884,-0.172692043,-0.100240539,0.029769212,0.575030123,0.271899288,0.700262209,0.671481075,0.594456927,0.319171994,0.484484003,0.524873711,0.326306098,1.120120903
Stathmin 1 (Phospho-Ser15),0.57049278,0.640833192,0.538195332,0.349056323,0.266085657,0.12090183,0.263646526,0.22216594,0.215241863,0.141422899,0.368807261,0.80564013,0.046117618,0.878995703,0.748901392,0.587803109,0.481406977,0.293519949,0.197147195,0.190285272,0.176759033
IRS-1 (Phospho-Ser307),0.156300057,0.15528344,0.028361917,-0.206146165,-0.102754054,0.043170054,0.242295506,0.239637981,0.346544559,0.215747492,-0.219017807,0.504960621,-0.137618832,0.49464487,0.111743596,0.066104342,0.333267913,-0.005525893,0.031582156,0.05572348,0.428529961
Met (Phospho-Tyr1349),0.348802028,0.745342911,0.436274455,0.601058431,-0.104076805,0.797609852,0.220800478,0.384878151,0.373044439,0.478330821,0.497194354,0.995793896,0.173881126,0.731534008,0.329525456,-0.118823064,0.221386383,0.763015054,0.370279753,0.133527473,0.953621685
FGFR1 (Phospho-Tyr154),-0.056935383,-0.055345488,0.067709741,0.046069444,-0.048745622,0.234625559,0.183621131,0.072279284,0.169908475,0.266479646,-0.187128534,0.034228603,-0.160207956,0.433607051,0.116326627,0.78821534,0.192507355,0.16726194,0.133052148,-0.010549965,0.208715866
KIT (Phospho-Tyr721),-0.518566007,-1.181885545,-0.447158124,-1.290154907,-0.200087033,-0.528346992,0.226554646,0.404624634,-0.827520696,-0.555416117,-0.953302496,-0.533923066,-0.673544396,-0.393770942,0.283188272,0.917589476,0.042549635,-0.865221929,-0.522168393,-0.432739976,0.669702859
SP1 (Phospho-Thr739),-0.45634409,-0.47404399,0.212266506,-0.134907701,-0.179186504,0.242068338,0.309019961,0.166374674,-0.037830345,-0.093220477,0.286135599,0.048842935,0.157827472,0.54016191,0.619390094,0.651300355,0.26557805,0.084126437,-0.072986213,-0.177656436,0.027076123
BRCA1 (Phospho-Ser1423),-1.947763078,0.624792402,-1.397410442,0.855795431,0.312056371,1.511542951,0.09006425,1.4042262,1.37871764,-1.731971067,-0.203102196,-1.087295849,-1.806766326,-1.357972685,-0.019517851,-0.254680432,1.569044266,0.394192889,0.086994538,0.510984117,3.777488989
eNOS (Phospho-Thr495),0.490260416,1.593909441,0.558712161,0.612324651,0.49445685,0.657578265,0.527401643,0.5276968,0.64489338,0.773684183,1.734099054,0.582093497,1.282243416,1.935143693,1.060026592,0.377618281,0.417852133,1.297939586,1.143606305,0.712735881,1.071201525
CDK1/CDC2 (Phospho-Tyr15),0.142199983,0.877617122,0.733857989,0.721860282,0.297842117,0.634999416,1.028120977,1.065974934,0.626561532,0.771373501,0.396144734,1.073189897,0.61851523,1.67369386,1.345331181,1.678716595,0.475634278,0.356018473,1.015067708,0.904312123,1.999161734
p44/42 MAPK (Phospho-Thr202),0.584247404,0.808852046,0.582235077,1.045363989,0.326942073,0.874505706,0.848431276,0.859922392,2.029200807,1.558089429,0.205556245,-0.264884904,1.055258324,1.094355217,0.759177166,0.629937549,0.92025044,0.907094513,0.752144305,0.848479659,2.183856237
p44/42 MAPK (Phospho-Tyr204),0.029492232,1.40722217,0.586831236,0.140526871,0.278961834,0.967059605,0.59598516,0.498599122,0.339036173,0.439030858,0.122703715,-0.420825907,0.829086118,1.233150235,0.79515698,-0.116886129,0.177804218,1.250474844,0.643504956,0.520796851,1.313789187
HSP27 (Phospho-Ser78),-0.432523358,-0.550846595,0.1771369,-0.588214707,0.137434056,-0.341898981,0.058235174,-0.108377185,-0.215500203,-0.526093318,0.029585202,-0.291455944,-0.074267382,-0.214156691,-0.035429711,-0.057013005,0.203416835,0.165298728,-0.195187501,-0.222201251,0.294884641
HSP27 (Phospho-Ser82),-0.118005009,1.037170459,0.191140686,-0.412421104,-0.163046587,-0.094296947,-0.170751807,-0.055427523,0.352629587,-0.021837205,-0.275230051,-0.53526101,0.114692695,0.30555443,-0.233902133,-0.16578651,0.615783835,-0.055416463,0.062831386,-0.017563272,0.887206675
SAPK/JNK (Phospho-Thr183),0.28990035,0.91661056,0.489188055,0.779008627,0.296957757,0.431979427,0.327261086,0.280652545,0.715641877,0.603446169,0.278874575,0.564100502,1.063958619,1.140530867,0.371681202,0.318867871,0.158608314,0.784125722,0.664510953,0.508188884,0.599525737
SAPK/JNK (Phospho-Tyr185),0.013702702,-0.391579041,-0.10264735,0.155680475,-0.129218421,-0.380037848,-0.023824006,-0.208431013,-0.16114921,-0.194605666,-0.054067891,0.31730933,-0.029290502,0.802063017,0.120793957,-0.062621834,0.058584354,-0.262243321,-0.192992479,0.093992154,0.302626617
