,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h
FGFR1 (Phospho-Tyr154),1164.5,1292,1792.5,1450,1615.5,1050.5,1578,1027,962.5,1137.5,1393,2050.5,1387,1720,1817,1212,1028,1136,1692.5,1496,1494,865.5
KIT (Phospho-Tyr721),4029,3718.5,4290,3923,3783.5,3366.5,3937,3634.5,3914.5,2646.5,3429,5280.5,3985.5,4819,4779,4436.5,3701.5,3625,4134,3817,4239,3331.5
SP1 (Phospho-Thr739),963,913,1312.5,1272.5,1277.5,813.5,1308.5,906,835.5,876.5,1006.5,1963.5,1152,1590,1549,1177.5,813.5,975,1366.5,1135,1147.5,684
BRCA1 (Phospho-Ser1423),2577,890,4705,1218,4275,2733.5,5122,2159.5,3628,3516.5,920,4513.5,2042.5,1484,1933,2555.5,1528.5,4307,3987.5,3249.5,4041,3584
eNOS (Phospho-Thr495),553.5,736.5,1236.5,832.5,873,631.5,866,577.5,567.5,625,780,1599.5,767,1254.5,1239.5,765,425.5,603,1063.5,999,929,498
CDK1/CDC2 (Phospho-Tyr15),1395,1660,2695.5,2227,2251.5,1471,2167,1783.5,1758,1567,1964.5,2934.5,2176.5,2655,2959,2072,1576.5,1560.5,2136.5,2425.5,2487.5,1490
p44/42 MAPK (Phospho-Thr202),713.5,976.5,1358,1082,1229,761.5,1193,852,835,1122.5,1240.5,1421,774,1528.5,1326.5,908.5,598.5,958.5,1255.5,1144,1250.5,786
p44/42 MAPK (Phospho-Tyr204),595.5,681.5,1283.5,904.5,845,623,1023,640.5,603,614,755.5,1157,613,1202,1144.5,766,376,576.5,1132.5,921.5,937,562
HSP27 (Phospho-Ser78),1028.5,985,1368.5,1340,1208,1012,1100,846.5,769,877.5,888,1942,1106,1567.5,1303.5,1014,666.5,1009,1494,1147.5,1200.5,780.5
HSP27 (Phospho-Ser82),931.5,1010.5,1862.5,1220.5,1149,793.5,1110.5,666.5,718,964.5,1001.5,1592,921,1516,1399.5,851.5,575.5,1108,1268,1163,1191.5,807
SAPK/JNK (Phospho-Thr183),721,901,1405,1058,1177.5,760,1047.5,684.5,661.5,830.5,964.5,1467,994.5,1548,1355.5,817,542.5,691,1232,1123.5,1129.5,587
SAPK/JNK (Phospho-Tyr185),1155.5,1315,1615,1335,1645.5,1001.5,1214,906.5,813.5,1006,1158.5,2125,1492.5,1789.5,1995.5,1204.5,747,1049,1474,1290.5,1548.5,878.5
NFkB-p105/p50 (Phospho-Ser932),995.5,1119,1519.5,1111.5,1328,881,1167.5,825.5,761.5,977.5,1057.5,1992,1354,1860.5,1467,955.5,663,892,1385,1305.5,1332.5,703.5
p38 MAPK (Phospho-Thr180),636,711.5,1069,821,978.5,639.5,866,544,548,737,787.5,1228.5,676.5,1266.5,1006.5,696,431.5,532,1055.5,882.5,860.5,492
p38 MAPK (Phospho-Tyr182),1501.5,916.5,1494,1207,1481.5,1423,1139,853.5,816,985.5,1124.5,1810,1393,1497,1219.5,942.5,706.5,955.5,1082.5,1218,1157.5,733
RelB (Phospho-Ser552),1000.5,1088.5,1540,1239,1190.5,1373,1126,882,968,1036,1105,1485.5,1395,1540.5,1437,1065,849,872,1261,1292.5,1159.5,821
PTEN (Ab-380/382/383),1216.5,1425,2101.5,1528,1739.5,1257.5,1573,962,1042.5,1154,1342,1819,1176,1932,1774,1362.5,824,1112.5,1773,1548,1437.5,994.5
PTEN (Ab-370),2310.5,2645.5,3384.5,2771,3359.5,2020.5,2915,1702,1938,2034.5,2295.5,2842,2022.5,3169,2214,2030,1268,1903.5,2728,2590.5,2369.5,1816
P95/NBS1 (Ab-343),3025,3049.5,2774.5,2745.5,2861.5,1923,2067.5,1398,1467.5,1311.5,1329.5,2664.5,1121.5,2498.5,1809.5,1554.5,801,2365.5,2259.5,2233.5,2047,1409.5
BCL-2 (Ab-56),1053,1214,1641,1114,1476.5,813,1585,663.5,659,927.5,1138.5,1882.5,1204,1612,1344.5,887,464.5,866,1460.5,1150.5,1142,561.5
BCL-2 (Ab-70),775.5,825.5,1428.5,904.5,1041,622,1154.5,535,554,855,866,1593.5,841.5,1316.5,1221,690,435,746.5,1249,929.5,914,518.5
NFkB-p65 (Phospho-Thr505),1280.5,1384.5,1861,1560.5,1640,1148.5,1488,1044.5,1044.5,1178.5,1280.5,2157.5,1394,1984.5,1547.5,1064.5,975,1210.5,1604.5,1386,1529,888.5
BAD (Ab-112),1163,1051,1625,1158.5,1350,841.5,1297.5,778,741,1132,1119,1656,1038.5,1637,1260,958.5,920,868,1524.5,1238.5,1119,684.5
BAD (Ab-136),746.5,851,1413.5,944.5,1037,806.5,1062,611.5,624.5,864,937.5,1725,881,1368,1137.5,782,565.5,693,1216.5,1008,1021.5,571.5
BAD (Ab-155),711,814,1281,824.5,1049,637.5,1121.5,608,573.5,1364.5,988,1739.5,859.5,1524.5,1103,715.5,412.5,605,1252,1007.5,985,492.5
Estrogen Receptor-alpha (Ab-104),524,669.5,1108.5,828.5,975.5,494,917.5,516,505,555,586,1131.5,633,1075,985.5,651,345,476.5,966.5,835.5,807,421
Estrogen Receptor-alpha (Ab-106),3834,5349.5,7929,5638,7690.5,4135,6920.5,4358,3869,5281.5,4772.5,5558.5,4063.5,7084,4331,3811.5,2144.5,6572.5,6877,7550.5,6179.5,4699
Estrogen Receptor-alpha (Ab-118),585,625.5,1079,754,896,566.5,852.5,513,502,603,756,1254,729,1236,1070,622,426,529.5,1039.5,865.5,797.5,448
Estrogen Receptor-alpha (Ab-167),547,621,1054.5,756.5,892.5,542,882,507,486,582,688.5,1225.5,877.5,1277.5,936.5,629.5,365.5,455.5,1031,850.5,876,424.5
Progesterone Receptor (Ab-190),629.5,809,1155.5,1132,978.5,636,1200.5,632,706,833,892,1237.5,979,1265,1022,873.5,403,827.5,1182.5,901,872,581.5
HER2 (Ab-877),639.5,727.5,1163.5,813,936,608.5,907,509,502.5,680,794,1500.5,853,1507,972.5,644,373.5,522,1054,931,915.5,427
HER2 (Ab-1221/1222),1424,1704.5,1953,1507,1754.5,1324.5,1336,1074,1028.5,1141,1072,1941,1119,2133.5,1519,1115.5,754.5,1125,1850.5,1559.5,1600.5,1060.5
HER2 (Ab-1248),790,937.5,1551.5,1097,1011,807,1091.5,760.5,727,798,839,1408.5,910,1600.5,1185,906.5,461,701,1352,1143.5,1102,664.5
EGFR (Ab-1070),5885.5,5837.5,3947,3715.5,4670,2083.5,2867,1358.5,1309.5,2286,2202.5,5358.5,1597,4011.5,2180,1650,900,2601,3691,2810,2408,1248.5
EGFR (Ab-1092),909,895,1300,974.5,1197,858,880,554,587,827,842.5,1322,723.5,1263,1012.5,724,527.5,627,1069.5,892.5,918,534
Connexin 43 (Ab-367),1661.5,2109,3776.5,2770,2790.5,1621.5,2471,1878.5,1759.5,1700.5,2041,2853,2095,3092,2643,2416,1097,1978,2546.5,2343.5,2404,1858
DAB1 (Ab-232),625,653.5,1109,750.5,943,565,1135.5,518,493.5,701,789.5,2222,843.5,1183.5,1093.5,644.5,366,532,1070,932.5,846.5,420.5
NFkB-p65 (Ab-311),875.5,1011,1406,1091.5,1202.5,733.5,1259.5,765,735.5,856.5,1086,3185,1255,1451.5,1358.5,952,756.5,807,1282.5,1130,1191,637.5
GluR1 (Ab-849),31389.5,44830.5,46013.5,45115.5,40015.5,27899.5,30181,17132.5,20101.5,18122,23516,19975,19288,37039.5,23690.5,23321,12345,30974.5,34391,27965.5,24957.5,22465
GluR1 (Ab-863),1267.5,1670.5,2289,1818.5,1473.5,1027.5,1551.5,913,928,972.5,1262.5,2364.5,1632.5,1935.5,1534,1152.5,684.5,907,1572,1300.5,1455,748.5
HSF1 (Ab-303),886,942,1567.5,1144.5,1340.5,775,1361.5,677.5,601,800.5,962,2070.5,1284,1438,1302.5,873.5,572,861,1365.5,1146.5,1178,645.5
EGFR (Ab-1110),1490.5,1835.5,2428.5,1779,1953.5,1311,1859.5,1269.5,1159.5,1650.5,1605,2543,1484.5,2359,1705,1319.5,1147,1382,2040,1669,1714.5,1117.5
MARCKS (Ab-163),855.5,948.5,1418,1016,1166.5,767.5,1205,661,672,866,1058,2002.5,1106.5,1531,1250,855.5,718.5,820.5,1271.5,1081,1073,572
Merlin (Ab-518),633,754,1178,799.5,1077.5,557.5,1101.5,487,479,711.5,869,1445,758.5,1312.5,1000.5,621,351.5,510.5,1121.5,906.5,877,435.5
Synapsin (Ab-9),802,1048.5,1485.5,1070.5,1280,835.5,1078,594,561,843,938.5,1802.5,1018.5,1590.5,1242.5,757.5,425,643.5,1255,992.5,1067.5,515
Histone H2A.X (Ab-139),2680.5,3834.5,6315,4230.5,4534.5,2606.5,3579.5,1896.5,1861.5,2269.5,2550,4819,1985,4968.5,4276.5,2634.5,1310,3242,5589.5,4148,4636.5,2507
P70S6K (Ab-411),784,913.5,1356,981.5,1145,763.5,1158,594.5,588,813.5,930.5,1714,965.5,1644.5,1166,719,474.5,645,1270,1012.5,1075,523
Tau (Ab-422),967.5,1132,1604,1271.5,1387.5,926,1286.5,789,751.5,965.5,1054,1919.5,1501,1735.5,1383.5,991.5,590.5,805.5,1523,1173,1394.5,674
Cortactin (Ab-421),630.5,667,1182.5,831,996.5,601.5,838.5,451,438.5,628.5,702.5,1296.5,1762.5,1266,1014.5,656.5,363,508,990.5,794.5,825.5,382
Cortactin (Ab-466),1519.5,1865,2765.5,2088,2162.5,1176,1685.5,974,934,1210,1314,2418.5,2142,2513,1588,1113,737,1030.5,1746,1439,1556.5,767
CREB (Ab-129),662,710,1150,893.5,954.5,636,995,558,537,707,821,1371,907.5,1466,1149,727.5,419,512,1156,912,988,458.5
DAB1 (Ab-220),730,808.5,1243,926.5,1104,647,1078,618,601.5,779,883,1395,748,1543.5,1109.5,814,489,604.5,1204.5,975,982.5,544.5
DARPP-32 (Ab-34),2846.5,1870.5,3165.5,2662,3107.5,1981.5,2114,1547,1484,1955.5,1780.5,2829,2008,2491,1989,1777.5,1420,1942.5,2998.5,2049.5,1964.5,1465.5
Dok-1 (Ab-362),721,751,1273,994,1132,678,991,657.5,618,734,830,1322.5,791.5,1249.5,1073.5,831,523,613.5,1075.5,960.5,879.5,609
P70S6K (Phospho-Ser371),592.5,710.5,1339,749.5,1206,834.5,947,662.5,740,837.5,1104.5,1898,1236.5,942.5,1425,1056.5,564.5,786.5,1009,941.5,850,626.5
P70S6K (Phospho-Thr389),840.5,860,1482,1076.5,1222.5,730.5,1350.5,617,644.5,852,1115,3959.5,1225.5,1474.5,1498.5,911.5,516.5,854,1437.5,1295,1142,601.5
P70S6K (Phospho-Ser418),700,1046.5,1421,1241.5,1464,735,1425.5,704,721,873,1273.5,5388,950.5,1274.5,1696,1003,654.5,992,1386.5,1121.5,1467.5,635.5
P90RSK (Phospho-Thr359/Ser363),2113,1652,3375.5,2650.5,2786.5,955.5,1470,1526,831.5,1789,2899,4753,1214,1536.5,2165,1850.5,769.5,4263,2443,1661,2567,721
P90RSK (Phospho-Ser380),880,957.5,1428,1097.5,1455.5,813.5,1237.5,651,649.5,971,1031,1738,1152.5,1563.5,1456.5,867.5,550.5,901.5,1190,1259.5,1354.5,604.5
P90RSK (Phospho-Thr573),996,1071,1690.5,1628.5,1319.5,842.5,1297.5,801,1081,1155,1065.5,1577.5,1110,1355,1349,925.5,693,924,1380,1494.5,1728,1148.5
PAK1 (Phospho-Thr212),1304.5,999,2094,1572,1568.5,1064,1355,753,758,1455,1127.5,1883.5,1336,1932.5,1428.5,964,618.5,1169,1300,1538.5,1155,891.5
PAK1/2/3 (Phospho-Thr423/402/421),968,936,1766.5,1131,1075,943,1197.5,679.5,736.5,731.5,1006,1781,862,1228.5,1142.5,841,539,866.5,1240.5,1137.5,1015,693.5
PAK1/2/3 (Phospho-Ser141),1146.5,1303,2005.5,1332,1487,968,1510.5,925.5,809,1062,1444.5,1866.5,1368,1983,1757,1029.5,784,1142,1752,1476,1650.5,890
PEA-15 (Phospho-Ser116),845,1014.5,1378,1052.5,1327,802,1020.5,635.5,640,804,985,1639.5,1143.5,1423,1552.5,821.5,445.5,712,1327,1080.5,1277,607
PKA CAT (Phospho-Thr197),823,973,1437,1043.5,1244.5,777,1064,593,606,857.5,1020.5,1726.5,945.5,1444,1208.5,843.5,487,701.5,1306,1046,1071.5,557
PP2A-alpha (Phospho-Tyr307),720.5,817.5,1253,951,2270,1034.5,1358.5,658.5,610,1338.5,1318.5,1175.5,1252,1641,1351.5,893.5,577,611.5,1216.5,1128.5,1233.5,659
Raf1 (Phospho-Tyr341),738,849,1345.5,959.5,1158.5,712,953,582,564,793,906,1630,938,1446.5,1118,733,471.5,768.5,1222,1024.5,1166.5,541
Raf1 (Phospho-Ser621),748.5,835.5,1352.5,971,1322.5,743,954.5,697,685.5,873,1046,1841,2382.5,1518.5,1185.5,897,512,760,1220,1063.5,1272.5,620
RyR2 (Phospho-Ser2808),796.5,1035.5,1350.5,954,1251,682.5,1241.5,565.5,817,959.5,852.5,1345.5,1539.5,1856.5,1298,850.5,564,1094.5,1753.5,1333,1347,600.5
SYK (Phospho-Tyr323),911.5,1031,1611,1087.5,1366.5,984.5,1095,672,641.5,878,1009,2177,1101,1716.5,1413.5,920,622.5,747,1478,1152,1284.5,584.5
Synapsin (Phospho-Ser62),1021,1111,1711,948.5,1363.5,735.5,1199,615.5,706,938,852,1635,1057.5,1702,1438,901.5,582.5,691,1546.5,1444,1026,784.5
Tuberin/TSC2 (Phospho-Ser939),984,905,1257,992.5,1458.5,724,979,613.5,560,884,959,1660.5,896,1578.5,1179,771.5,531,667,1797,995,1107,541.5
Tuberin/TSC2 (Phospho-Thr1462),689,657.5,1193,899.5,1099,592,899,534,495.5,715.5,740.5,1241,704,1137.5,1088.5,669.5,414.5,531.5,1263.5,857,961.5,495
VAV2 (Phospho-Tyr142),1129,822.5,1824,1392.5,1329.5,1075.5,1734.5,1119.5,970.5,1274.5,1578,1859.5,1588.5,1311.5,2038.5,1217,1024.5,3050.5,1951,1764,1031.5,669
Catenin beta (Phospho-Tyr489),1433.5,1308,2088.5,1114.5,1579,926,1666,778.5,761.5,968.5,1121.5,3261,1052,1897.5,2049.5,1096,842.5,2667,1775.5,1563.5,1683.5,845
CREB (Phospho-Thr100),1480.5,1282,1981,1424,1815.5,1190.5,1497.5,818,865,1211.5,1378,3546,1367,1689.5,1783.5,1175,909,1259,1760,1412.5,1580.5,760
Ezrin (Phospho-Tyr478),1146.5,1127.5,2115,1189.5,1440,1069.5,1572.5,928,813,1145,1204,1631.5,2112,1792.5,2464.5,1318,903,1198,1367.5,1619,1303,801
p53 (Phospho-Ser366),876,1038,1864.5,1151,1261,851.5,1288.5,785.5,736.5,1041.5,1117,1556,1057.5,1371.5,1386,932,574.5,894.5,1310,1130.5,1270,669
p53 (Phospho-Ser378),974,927.5,2071.5,1292.5,1280,832,1482.5,655.5,662,882,1186,1415.5,2025,1983,1460,1348.5,538.5,690,1287.5,1341.5,1410,638
Rb (Phospho-Ser608),1042,1275,1814,1341.5,1504.5,935,1547.5,770.5,719,1376.5,1347,2438,1485,1832,1713.5,1073,715,920.5,1563.5,1301.5,1524.5,734
SRF (Phospho-Ser77),1083.5,1160,1833.5,1281,1483,988.5,1437,733.5,737.5,1002.5,1107,2426.5,1224,1651,1498,1014,674.5,919.5,1501.5,1222.5,1430,715.5
Trk A (Phospho-Tyr701),1355.5,1721,1643.5,1605.5,2133.5,1492,1933,1146.5,1142.5,1424.5,1622,2309.5,1012.5,1826.5,1558,1246.5,1146.5,1607,1826.5,1759.5,1785.5,980.5
Trk A (Phospho-Tyr680/681),694,791.5,1177,832,1036,623.5,976.5,482.5,468,773.5,1967,1791.5,936.5,1240.5,2604.5,656,378,550.5,1156.5,874,991,450.5
Abl1 (Phospho-Thr754/735),859,983,1572.5,1111.5,1305.5,789.5,1115.5,564.5,574.5,902.5,3084,1873.5,983.5,1501.5,1412.5,892,549,689,1497,1117,1255.5,946
B-RAF (Phospho-Ser446),1379.5,1420.5,2011.5,1423,1482.5,1221,1567,734,879,1207.5,3407,2445.5,1415.5,1855,1527,1075,786,1098.5,1586.5,1335,2036.5,877.5
CaMK2-beta/gamma/delta (Phospho-Thr287),1110,1265,1652.5,1274,1716,1054.5,1142,698.5,741,948.5,1165.5,1795.5,865.5,1714.5,1403,926.5,667,857,1594,1282,1448.5,741
MAP3K1/MEKK1 (Phospho-Thr1381),1209.5,1856.5,1845.5,1630.5,1556.5,932.5,1438,730.5,775.5,1060.5,1145.5,2439,1268.5,2087,1474,957,632.5,889.5,1702.5,1369,1531.5,684.5
MKK3/MAP2K3 (Phospho-Thr222),706.5,878,1194,824.5,1045,601.5,945.5,480,465,850.5,785,1942,1004,1541,1088,649.5,388.5,548,1270.5,995,1047,428
MKK7/MAP2K7 (Phospho-Ser271),1205,1576.5,1818,1263.5,1506.5,1166,1214.5,902.5,835.5,1155,1264,2172.5,1250.5,2139.5,1437.5,1066.5,729.5,1063.5,1637,1242,1649.5,745
MKK7/MAP2K7 (Phospho-Thr275),1348.5,1949.5,1860,1402,2196.5,1504.5,1454.5,1071,1075.5,1288.5,1324,2101,1555,2108.5,1563.5,997.5,992.5,1381.5,1758.5,1532.5,1897,1040
MSK1 (Phospho-Ser212),2551.5,846,2464.5,998.5,2801,774,972,760,1530.5,1606.5,1514,1257,3778,1457.5,2432.5,858,1660,2347.5,1263,2250.5,1095,693.5
MSK2 (Phospho-Thr568),1217,1387.5,2018,1628,2222.5,1532,1197.5,881.5,945.5,1059,1232,1773,1077.5,1848.5,1437.5,1014,805.5,996,1702,1295,1486.5,921.5
VE-Cadherin (Phospho-Tyr731),5780,15091.5,16409,8453.5,9187,7003.5,7269,5905.5,11515,9942,6083,6571,9960.5,8489.5,6745.5,12688.5,3186,13039.5,11931,7248,12806,12501.5
WWOX (Phospho-Tyr33),1617.5,1734.5,2181,1814,2070.5,1606,1746,1491,1412,1801.5,1950.5,2300.5,1736,1972,1912.5,1395,1261,1758,2193,1756.5,2170.5,1343
Claudin 3 (Phospho-Tyr219),1889.5,1819,2382.5,1852.5,2345.5,1711,1824.5,1243,1143.5,1740,1944.5,2533.5,1564.5,2067.5,1962,1313,1210.5,1685,1949,1631.5,1879.5,1137
Claudin 6 (Phospho-Tyr219),1655,1799,2315.5,1874,2046,1475.5,2004,1283.5,1255.5,1505.5,1848.5,2883.5,1999.5,2472,2158.5,1577,1279,1596,2155,1821.5,2077,1198
Claudin 7 (Phospho-Tyr210),2261.5,2500.5,2928.5,2497,2604,2002,2369,1776.5,1802,1958.5,2087.5,3195.5,2165,2761.5,2280.5,1967,1789,2052,2575.5,2181,2482.5,1664.5
PLD2 (Phospho-Tyr169),1879.5,2084.5,2549,2123,2354,1848,1855.5,1752.5,1487.5,1701,1870,2999.5,1935,2542,2187.5,1677,1634.5,1741.5,2316.5,2054,2043,1464
AMPK1/AMPK2 (Ab-485/491),1096,1280,1866,1402,1528.5,948.5,1631.5,918,925.5,1240.5,1287.5,2369.5,1494,2012.5,1638,1163,744.5,968.5,1648,1388,1454,875
MKK6/MAP2K6 (Ab-207),2247.5,2577.5,3403.5,2556,2583,1983,2462,1928,1825,1844.5,2152,3664.5,2105,3163,2277,2157.5,1571,2034.5,2750.5,2437,2527.5,1840
p38 MAPK (Ab-180),671,812,1200,860,990.5,606.5,1024,496.5,493,740,850,1607,945.5,1409,1084.5,648,370.5,547,1168.5,866.5,1007,482
Catenin beta (Ab-33),1008.5,1240,1509,1137,1423,796.5,1141,607.5,556.5,937,1141.5,2099,1068.5,1582,1214.5,791.5,441,711.5,1402,1004,1202.5,542
P70S6K (Ab-421),1203.5,1362,1848.5,1444,1577,1126.5,1539.5,1112,1111.5,1149.5,3706,2447.5,1439.5,2165,1598.5,1172.5,931,1097,1865.5,1464.5,1544.5,1483
GSK3 alpha/beta (Ab-216/279),757,859.5,1311,946.5,1147,799,1061,576.5,579,775.5,1024.5,1742.5,861.5,1476,1173.5,754.5,494.5,624.5,1300.5,989,1065.5,565
Caspase 8 (Ab-347),1542,1655.5,2416,1822.5,1847.5,1081,1381.5,786,788,1190,1220,2423.5,1320.5,1869.5,1615,1104,695,1104.5,1795,1428.5,1596,731.5
CDC25B (Ab-323),1281,1918,2175,2112.5,1616.5,1051,1508,1010,967.5,1164,1302.5,2806,1500,2356.5,1536.5,1074.5,791.5,1018,1831.5,1381.5,1535,871.5
Cyclin B1 (Ab-126),2423,2839,3020.5,2210,2814.5,2161,2232.5,2165.5,2414.5,2756.5,2090.5,3069,2634,2803,2479,2244,2114.5,2204,4144.5,2604.5,3277.5,1740.5
Cyclin E1 (Ab-395),1416.5,1512.5,1892.5,1556.5,1477.5,1178.5,1576,1262.5,1294,1192,1423.5,2382,1538,2322.5,1697,1397,1026.5,1178,1995.5,1687.5,1847.5,1173.5
KSR (Ab-392),1210.5,1005.5,1522,1118,1289.5,817.5,1133.5,662,654.5,912,1077,2243.5,1246,1896.5,1414.5,962.5,643.5,759.5,1480.5,1134,1325.5,620.5
PLC beta3 (Ab-1105),1321.5,1030,1504.5,1181,1363.5,915,1213.5,703.5,724.5,947.5,1082.5,1970.5,1334.5,1839.5,1447,1026,726,839.5,1568,1296,1296,653
STAT5B (Ab-731),1050,1104.5,1739,1297.5,1296,873,1281.5,791,803,943.5,1007.5,1958,1024.5,1752.5,1465,963.5,661.5,807.5,1434,1263,1346.5,734.5
PKC pan activation site,783.5,805,1356.5,1036.5,1088,753.5,1120,640.5,649,778,926,1508.5,910.5,1181.5,1450.5,871.5,593.5,695,1197,1176.5,1032.5,600
PKC zeta (Ab-560),761.5,786.5,1304,961,1155,675,1193,538,503.5,791.5,948.5,1972,990,1211.5,1332,805,447,657.5,1283,1115,1067.5,516
PKD1/PKC mu (Ab-205),851.5,958,1500.5,1091,1222.5,771,1294.5,644.5,623,920,1068,2078.5,1221,1333,1457,896,497,737,1357.5,1193.5,1351,533.5
PKD1/PKC mu (Ab-463),1843.5,1981,2691,2148.5,1981,1393,1958,1003.5,977,1406,1694,2965,1750.5,2260,2053.5,1598.5,843,1520.5,2291,1604.5,2084,1017
PKD2 (Ab-876),683.5,708.5,1253,793.5,1005,588,1135,447,436,763.5,877,2099,1035,1088.5,1155,616,339,528.5,1073.5,786.5,973,421
Rb (Ab-811),2445,2762.5,2882.5,2450.5,1974,1261.5,2403,935,958.5,1283.5,1517.5,2986,1728.5,2250.5,1807.5,1376,878,1476,1869,1631.5,1906.5,891
Rb-like-2 (RBL2)(Ab-952),615,707.5,1201,756.5,1012.5,531,1060,448.5,423.5,831,832.5,1564,883,1127.5,1005,543,317,483,1032,850.5,934.5,399.5
AKT1 (Ab-326),1449.5,1742,2879,1758.5,1688,1232,1650.5,1157.5,961.5,1173.5,1373,2508.5,1378.5,2169.5,1644,1336.5,838,1153,1725,1501.5,1585,958
BAD (Ab-91/128),947.5,1171.5,2607,1048.5,1364,903.5,1210,679.5,704.5,852,870.5,1787.5,1322.5,1458.5,1276.5,903,589,847,1279.5,1146.5,1066.5,622.5
BAD (Ab-134),1213.5,1452,1883,1464,1449,1220.5,1667,1133.5,1079.5,1188.5,1371,2206.5,1446,1927.5,1623.5,1167.5,938,1110,1750.5,1457.5,1616.5,1027.5
Calmodulin (Ab-79/81),5603,6233,1249,954.5,2675,632,4182.5,1921,587,3817,969,4148.5,2536.5,1418,1135.5,717,433,621,3702.5,1218.5,1204.5,668.5
CaMK1-alpha (Ab-177),1151.5,1664,1778,1726,1709,1380.5,1352.5,933,946,1236,1249,2449.5,1062,1868.5,1518.5,997.5,1012,1201,1568.5,1280.5,1434.5,941.5
CaMK4 (Ab-196/200),840,923,1383,1557,1207.5,711,1149,534.5,542.5,842,908.5,2013.5,1016,1667.5,1184,746,479,607,1279,990.5,1143.5,495
Caspase 9 (Ab-153),1050.5,1154,6283,1852.5,4556.5,1641.5,1211.5,835,1938,1202.5,2901,4298,1118,1746,1457,924.5,692,1563,4431.5,1717.5,2751,823.5
Caspase 9 (Ab-144),790.5,872,1294,881,1060,648,1041,540.5,507.5,857,871,2001,1059.5,1672.5,1129,660,367.5,557,2166.5,1006,1083,448.5
Caspase 9 (Ab-196),12019.5,14736.5,16506.5,15694.5,12664,10816,9745,8495,8824,7120,8020,12825.5,7620.5,13104.5,9938.5,9420,8355.5,12184.5,14116,10879.5,12154.5,9756
Caspase 3 (Ab-150),564.5,622.5,958.5,770.5,806.5,497.5,751,419.5,428,605,631,1299.5,799.5,1229,965,1561,352.5,440,905,739,831.5,400
Catalase (Ab-385),4811,6599,6365.5,5722.5,5780.5,2428.5,3165.5,1917.5,2039,4060,2432.5,5263.5,2182,4096.5,4214.5,3934.5,2096.5,4974.5,4342,2744.5,3392.5,2144
Catenin beta (Ab-654),1169.5,1255.5,1637,1371,1280,869,1125,680.5,735.5,866.5,929.5,1489.5,854.5,1506,1748,975.5,538,652.5,1237,1110.5,1107,649.5
Fos (Ab-374),1160,1523.5,2127.5,1460.5,1499,1208,1606.5,985,969,1088,1358.5,1867.5,1171,1617.5,1748.5,1208,855.5,947,1459.5,1548.5,1419,865
Gab2 (Ab-623),845,975,1405.5,1153,1134,711,1232,663.5,600.5,773.5,971.5,1765.5,995,1187.5,1265.5,850.5,505.5,740,1156.5,1152,1118,569.5
MAPKAPK2 (Ab-272),1237.5,1336.5,1771,1355.5,1554,1041,1544,783.5,759.5,1076.5,1312,2208,1272,1512,1444.5,1027.5,728,964.5,1504,1284.5,1368,737
MEF2C (Ab-396),975,1059.5,1674.5,1181,1362.5,835,1144.5,665.5,610,904,1125.5,1805,1162,1368,1391.5,927,566,817.5,1364,1172.5,1233,568.5
MKP-1/2 (Ab-296/318),1937,2013,2727,2282.5,2313,1732,2593,1816,1755.5,1790.5,2057.5,2873.5,2000.5,2513,2373,2003.5,1654,1741.5,2348,2008,2292.5,1660
NFAT3 (Ab-168/170),827.5,874,1490.5,1048,1266,798.5,1815,608.5,569,880.5,1011.5,1787,779,1194.5,1246.5,796.5,524,690.5,1192,1017,972,595
SREBP-1 (Ab-439),1044,1144,1934,1245,1362,824,1536,658.5,642,1166.5,1132,2342.5,1393.5,1603.5,1502,978.5,581,832,1413,1245,1351.5,644
Tuberin/TSC2 (Ab-981),1687,2184.5,3316,2763.5,2998.5,1970.5,1875.5,919,995,1236.5,1750.5,2588.5,1489.5,2112,1609,1173.5,852.5,1759,1799.5,1479,1664.5,1022
MKK4/SEK1 (Ab-80),1883,2208,3937.5,2364,2613.5,2197.5,2182.5,1207.5,1290,1629,1881.5,2698.5,1362.5,2489,2080.5,1637,1172.5,1727,2493,1882,2148,1589.5
Ephrin B2 (Ab-330),1194,1683,2162,1573.5,1447.5,1284.5,1363,853.5,901.5,963.5,1079,2002,1136,1962,1497,1115,592,1282,1782.5,1331.5,1482,923
p130Cas (Ab-410),1112,1201,1899,1569,1551,966.5,1523,855.5,776,1142,1173.5,2407,1566.5,1767.5,1291,937.5,813,1071.5,1486.5,1324,1489,733.5
PLCG1 (Ab-771),565,1119.5,1466.5,1200,1507.5,853.5,1288.5,807.5,699.5,1051.5,769,1227.5,1230.5,1119.5,1528.5,988.5,680.5,1002.5,1217,1431.5,930.5,704
PLCG1 (Ab-783),1045.5,1113,1738,2634.5,1459.5,909.5,1334,774,729.5,971,1083.5,1984.5,998.5,1708,1435,955,973.5,795,1520.5,1282,1333,728
