,GeneID,symbol
Chk1 (Phospho-Ser296),1111,CHEK1
Raf1 (Phospho-Ser296),5894,RAF1
Cyclin B1 (Phospho-Ser147),891,CCNB1
Cyclin E1 (Phospho-Thr77),898,CCNE1
eIF4B (Phospho-Ser422),1975,EIF4B
eIF4G (Phospho-Ser1108),1981,EIF4G1
IRS-1 (Phospho-Ser794),3667,IRS1
LAT (Phospho-Tyr171),27040,LAT
P70S6K-beta (Phospho-Ser423),6199,RPS6KB2
PAK1 (Phospho-Ser204),5058,PAK1
PAK2 (Phospho-Ser192),5062,PAK2
PAK3 (Phospho-Ser154),5063,PAK3
PKC beta/PKCB (Phospho-Ser661),5579,PRKCB
PKC delta (Phospho-Tyr64),5580,PRKCD
RSK1/2/3/4 (Phospho-Ser221/227/218/232),6195/6197/6196/27330,RPS6KA1/RPS6KA3/RPS6KA2/RPS6KA6
Src (Phospho-Ser75),6714,SRC
SLP-76 (Phospho-Tyr128),3937,LCP2
LCK (Phospho-Ser59),3932,LCK
Fos (Phospho-Thr232),2353,FOS
Src (Phospho-Tyr216),6714,SRC
Gab2 (Phospho-Ser159),9846,GAB2
Pyk2 (Phospho-Tyr579),2185,PTK2B
GRK2 (Phospho-Ser685),156,GRK2
BRCA1 (Phospho-Ser1457),672,BRCA1
Cyclin C (Phospho-Ser275),892,CCNC
Gab2 (Phospho-Tyr643),9846,GAB2
MAPKAPK2 (Phospho-Ser272),9261,MAPKAPK2
HER2 (Phospho-Thr686),2064,ERBB2
NFkB-p105/p50 (Ab-927),4790,NFKB1
Shc (Ab-427),6464,SHC1
Smad1 (Ab-465),4086,SMAD1
Smad2 (Ab-467),4087,SMAD2
Smad3 (Ab-425),4088,SMAD3
FAS (Phospho-Tyr291),355,FAS
ACC1 (Ab-80),31,ACACA
Caspase 6 (Ab-Ser257),839,CASP6
Caspase 9 (Ab-125),842,CASP9
c-PLA2 (Ab-505),5321,PLA2G4A
EEF2 (Ab-56),1938,EEF2
HSL (Ab-554),3991,LIPE
Pyk2 (Ab-881),2185,PTK2B
Pyk2 (Ab-580),2185,PTK2B
SRF (Ab-99),6722,SRF
STAT2 (Ab-690),6773,STAT2
SYK (Ab-348),6850,SYK
SYK (Ab-525),6850,SYK
CD227/mucin 1 (Ab-1243),4582,MUC1
CD4 (Ab-433),920,CD4
CDC25A (Ab-124),993,CDC25A
CDC25B (Ab-353),994,CDC25B
CDK7 (Ab-170),1022,CDK7
Chk1 (Ab-286),1111,CHEK1
Met (Ab-1003),4233,MET
Cyclin D1 (Ab-90),595,CCND1
Cyclin E2 (Ab-392),9134,CCNE2
Keratin 18 (Ab-52),3875,KRT18
Keratin 8 (Ab-431),3856,KRT8
Catenin delta-1 (Ab-228),1500,CTNND1
Raf1 (Ab-43),5894,RAF1
DNA-PK (Ab-2647),5591,PRKDC
DNA-PK (Ab-2638),5591,PRKDC
DNA-PK (Ab-2056),5591,PRKDC
EGFR (Ab-1069),1956,EGFR
ERK3 (Ab-189),5597,MAPK6
FAK (Ab-910),5747,PTK2
AurA (Phospho-Ser342),6790,AURKA
Lamin A/C (Ab-392),4000,LMNA
MITF (Ab-73),4286,MITF
PLCG2 (Ab-1217),5336,PLCG2
PLK1 (Ab-210),5347,PLK1
PPAR-BP (Ab-1457),5469,MED1
PPAR-gamma (Ab-112),5468,PPARG
WAVE1 (Ab-125),8936,WASF1
XIAP (Ab-87),331,XIAP
ATP-Citrate Lyase (Ab-454),47,ACLY
Mst1/Mst2 (Ab-183),6789,STK4
Myosin regulatory light chain 2 (Ab-18),10398,MYL9
p130Cas (Ab-165),9564,BCAR1
PP1 alpha (Ab-320),5499,PPP1CA
TLK1 (Ab-764),9874,TLK1
CK2-b (Ab-209),1460,CSNK2B
EPHA2/3/4 (Ab-588/596),1969/2042/2043,EPHA2/EPHA3/EPHA4
EPHB1/2 (Ab-594/604),2047/1969,EPHB1/EPHA2
Ephrin B1 (Ab-317),1947,EFNB1
Progesterone Receptor (Phospho-Ser190),5241,PGR
HER2 (Phospho-Tyr877),2064,ERBB2
HER2 (Phospho-Tyr1221/Tyr1222),2064,ERBB2
HER2 (Phospho-Tyr1248),2064,ERBB2
EGFR (Phospho-Ser1070),1956,EGFR
EGFR (Phospho-Tyr1092),1956,EGFR
G3BP-1 (Phospho-Ser232),10146,G3BP1
ICAM-1 (Phospho-Tyr512),3383,ICAM1
VEGFR2 (Phospho-Tyr1175),3791,KDR
VEGFR2 (Phospho-Tyr1214),3791,KDR
VEGFR2 (Phospho-Tyr951),3791,KDR
IGF1R (Phospho-Tyr1161),3480,IGF1R
IGF1R (Phospho-Tyr1165/1166),3480,IGF1R
Paxillin (Phospho-Tyr118),5829,PXN
Caveolin-1 (Phospho-Tyr14),857,CAV1
Src (Phospho-Tyr418),6714,SRC
p53 (Phospho-Ser6),7157,TP53
p53 (Phospho-Ser9),7157,TP53
p53 (Phospho-Ser15),7157,TP53
DARPP-32 (Phospho-Thr34),84152,PPP1R1B
Dok-1 (Phospho-Tyr362),1796,DOK1
Dok-1 (Phospho-Tyr398),1796,DOK1
Dok-2 (Phospho-Tyr299),9046,DOK2
eIF2A (Phospho-Ser51),1965,EIF2S1
PKR (Phospho-Thr446),5610,EIF2AK2
GAP43 (Phospho-Ser41),2596,GAP43
Integrin beta-3 (Phospho-Tyr785),3690,ITGB3
Ret (Phospho-Tyr905),5979,RET
P70S6K (Phospho-Ser424),6198,RPS6KB1
Synuclein alpha (Phospho-Tyr133),6622,SNCA
Synuclein alpha (Phospho-Tyr136),6622,SNCA
CaMK2A (Phospho-Thr286),815,CAMK2A
BIM (Phospho-Ser69/65),10018,BCL2L11
CPI17 alpha (Phospho-Thr38),94274,PPP1R14A
PKR (Phospho-Thr451),5610,EIF2AK2
Gab1 (Phospho-Tyr627),2549,GAB1
GluR2 (Phospho-Ser880),2891,GRIA2
MARCKS (Phospho-Ser158),4082,MARCKS
Ezrin (Ab-353),7430,EZR
Tau (Ab-235),4137,MAPT
Tau (Ab-181),4137,MAPT
Tau (Ab-205),4137,MAPT
Tau (Ab-214),4137,MAPT
Tau (Ab-231),4137,MAPT
Tau (Ab-262),4137,MAPT
Tau (Ab-404),4137,MAPT
G3BP-1 (Ab-232),10146,G3BP1
Catenin beta (Ab-41/45),1499,CTNNB1
Androgen Receptor (Ab-213),367,AR
Androgen Receptor (Ab-650),367,AR
ICAM-1 (Ab-512),3383,ICAM1
Paxillin (Ab-118),5829,PXN
Rb (Ab-795),5925,RB1
Rb (Ab-807),5925,RB1
Rb (Ab-780),5925,RB1
CDK2 (Ab-160),1017,CDK2
Caveolin-1 (Ab-14),857,CAV1
PKC theta (Ab-676),5588,PRKCQ
14-3-3 zeta (Ab-58) ,7534,YWHAZ
ADD1 (Ab-726) ,118,ADD1
AMPK1 (Ab-172) ,5562,PRKAA1
Amyloid beta A4 (Ab-743/668) ,351,APP
CREB (Ab-142) ,1385,CREB1
DARPP-32 (Ab-75) ,84152,PPP1R1B
EGFR (Ab-678) ,1956,EGFR
EGFR (Ab-693) ,1956,EGFR
GABA-RB (Ab-434) ,2560,GABRB1
HSP90B (Ab-254) ,3326,HSP90AB1
IkB-epsilon (Ab-22) ,4794,NFKBIE
Keratin 18 (Ab-33) ,3875,KRT18
Keratin 8 (Ab-73) ,3875,KRT18
MEF2A (Ab-408) ,4205,MEF2A
Myc (Ab-62) ,4609,MYC
Opioid Receptor (Ab-375) ,4988,OPRM1
PKC zeta (Ab-410) ,5590,PRKCZ
Shc (Ab-349) ,6464,SHC1
LKB1 (Phospho-Ser428),6794,STK11
LKB1 (Phospho-Thr189),6794,STK11
MAPKAPK2 (Phospho-Thr222),9261,MAPKAPK2
MEK1 (Phospho-Ser298),5604,MAP2K1
MEK1 (Phospho-Thr286),5604,MAP2K1
MSK1 (Phospho-Ser360),9252,RPS6KA5
MSK1 (Phospho-Thr581),9252,RPS6KA5
mTOR (Phospho-Ser2481),2475,MTOR
p53 (Phospho-Thr81),7157,TP53
p63 (Phospho-Ser455),8626,TP63
PAK2 (Phospho-Ser20),5062,PAK2
PEA-15 (Phospho-Ser104),8682,PEA15
PKC alpha/beta II (Phospho-Thr638),5578,PRKCA
PKC delta (Phospho-Thr505),5580,PRKCD
PKC delta (Phospho-Tyr313),5580,PRKCD
PKC theta (Phospho-Thr538),5588,PRKCQ
PKD1/PKC mu (Phospho-Ser910),5587,PRKD1
PLC beta3 (Phospho-Ser537),5331,PLCB3
Ras-GRF1 (Phospho-Ser916),5923,RASGRF1
MDM4 (Phospho-Ser367),4194,MDM4
MEF2C (Phospho-Ser396),4208,MEF2C
MKP-1/2 (Phospho-Ser296/318),1843/1846,DUSP1/DUSP4
SREBP-1 (Phospho-Ser439),6720,SREBF1
PLCG1 (Phospho-Tyr771),5335,PLCG1
LYN (Phospho-Tyr507),4067,LYN
p130Cas (Phospho-Tyr410),9564,BCAR1
PLCG1 (Phospho-Tyr783),5335,PLCG1
PLCG2 (Phospho-Tyr753),5336,PLCG2
ATF1 (Phospho-Ser63),466,ATF1
CD19 (Phospho-Tyr531),930,CD19
Fyn (Phospho-Tyr530),2534,FYN
ATPase (Phospho-Ser16),476,ATP1A1
CBL (Phospho-Tyr774),867,CBL
CBL (Phospho-Tyr700),867,CBL
FGFR1 (Phospho-Tyr766),2260,FGFR1
FGFR1 (Phospho-Tyr654),2260,FGFR1
Lamin A/C (Phospho-Ser392),4000,LMNA
MITF (Phospho-Ser73),4286,MITF
4E-BP1 (Ab-65),1978,EIF4EBP1
4E-BP1 (Ab-70),1978,EIF4EBP1
Abl1 (Ab-204),25,ABL1
ACC1 (Ab-79),31,ACACA
AKT1 (Ab-450),207,AKT1
AKT1 (Ab-124),207,AKT1
AMPK beta1 (Ab-182),5564,PRKAB1
Chk2 (Ab-387),11200,CHEK2
Cyclin D1 (Ab-286),595,CCND1
Cyclin D3 (Ab-283),896,CCND3
Interferon-alpha/beta receptor alpha chain (Phospho-Tyr466),3454,IFNAR1
DYN1 (Ab-774),1759,DNM1
E2F1 (Ab-433),1869,E2F1
FAK (Ab-576),5747,PTK2
HDAC5 (Ab-259),10014,HDAC5
HSL (Ab-552/563),3991,LIPE
IkB-beta (Ab-19),4793,NFKBIB
IKK-alpha/beta (Ab-180/181),1147/3551,CHUK/IKBKB
IKK-alpha/beta (Ab-176/177),1147/3551,CHUK/IKBKB
FAS (Ab-291),355,FAS
FosB (Ab-27),2354,FOSB
GRK1 (Ab-21),6011,GRK1
HDAC3 (Ab-424),8841,HDAC3
HDAC6 (Ab-22),10013,HDAC6
HER2 (Ab-686),2064,ERBB2
HER3/ErbB3 (Ab-1222),2065,ERBB3
HER3/ErbB3 (Ab-1289),2065,ERBB3
HER4/ErbB4 (Ab-1284),2066,ERBB4
Smad1 (Ab-187),4086,SMAD1
Smad2 (Ab-255),4087,SMAD2
Smad2 (Ab-250),4087,SMAD2
Smad2 (Ab-245),4087,SMAD2
Smad2 (Ab-220),4087,SMAD2
Smad2/3 (Ab-8),4088/4087,SMAD3/SMAD2
Smad3 (Ab-179),4088,SMAD3
Smad3 (Ab-204),4088,SMAD3
Smad3 (Ab-213),4088,SMAD3
Calsenilin/KCNIP3 (Ab-63),30818,KCNIP3
Epo-R (Ab-368),2057,EPOR
Interferon-alpha/beta receptor alpha chain (Ab-466),3454,IFNAR1
IL-2RA/CD25 (Ab-268),3559,IL2RA
WEE1 (Phospho-Ser53),7465,WEE1
MKK4/SEK1 (Ab-257),6416,MAP2K4
ATP1A1/Na+K+ ATPase1 (Ab-23),24211,Atp1a1
CK1-A (Ab-321),1452,CSNK1A1
HSP90B (Ab-226),3326,HSP90AB1
Merlin (Ab-10),4771,NF2
MAP3K7/TAK1 (Ab-187),6885,MAP3K7
MAP3K7/TAK1 (Ab-439),6885,MAP3K7
MAP3K8/COT (Ab-400),1326,MAP3K8
MYT1 (Ab-83),9088,PKMYT1
WEE1 (Ab-53),7465,WEE1
EPB41 (Ab-418/660),2035,EPB41
Mnk1 (Ab-385),8569,MKNK1
RAD51 (Ab-309),5888,RAD51
TIF-IA (Ab-649),54700,RRN3
Lamin A (Ab-22),4000,LMNA
p53 (Phospho-Thr18),7157,TP53
p53 (Phospho-Ser33),7157,TP53
p53 (Phospho-Ser37),7157,TP53
p53 (Phospho-Ser46),7157,TP53
p53 (Phospho-Ser315),7157,TP53
Tau (Phospho-Ser356),4137,MAPT
Tau (Phospho-Ser396),4137,MAPT
Tau (Phospho-Ser235),4137,MAPT
Tau (Phospho-Thr181),4137,MAPT
Tau (Phospho-Thr205),4137,MAPT
Tau (Phospho-Ser214),4137,MAPT
Tau (Phospho-Thr231),4137,MAPT
Tau (Phospho-Ser262),4137,MAPT
Tau (Phospho-Ser404),4137,MAPT
FKHR (Phospho-Ser256),2308,FOXO1
Catenin beta (Phospho-Thr41/Ser45),1499,CTNNB1
BRCA1 (Phospho-Ser1524),672,BRCA1
CDC25C (Phospho-Ser216),995,CDC25C
Androgen Receptor (Phospho-Ser213),367,AR
MEK1 (Phospho-Thr291),5604,MAP2K1
NMDAR1 (Phospho-Ser897),2902,GRIN1
PKC delta (Phospho-Ser645),5580,PRKCD
PKC theta (Phospho-Ser676),5588,PRKCQ
14-3-3 zeta (Phospho-Ser58),7534,YWHAZ
AMPK1 (Phospho-Thr172),5562,PRKAA1
Amyloid beta A4 (Phospho-Thr743/668),351,APP
CREB (Phospho-Ser142),1385,CREB1
DARPP-32 (Phospho-Thr75),84152,PPP1R1B
EGFR (Phospho-Thr678),1956,EGFR
Ephrin B2 (Phospho-Tyr330),1948,EFNB2
GABA-RB (Phospho-Ser434),2560,GABRB1
HSP90B (Phospho-Ser254),3326,HSP90AB1
IkB-beta (Phospho-Ser23),4793,NFKBIB
IkB-epsilon (Phospho-Ser22),4794,NFKBIE
Keratin 18 (Phospho-Ser33),3875,KRT18
Keratin 8 (Phospho-Ser73),3875,KRT18
MEF2A (Phospho-Ser408),4205,MEF2A
Myc (Phospho-Ser62),4609,MYC
Chk1 (Ab-280),1111,CHEK1
Chk1 (Ab-317),1111,CHEK1
Src (Ab-418),6714,SRC
MKK3/MAP2K3 (Ab-189),5606,MAP2K3
Chk2 (Ab-516),11200,CHEK2
TYK2 (Ab-1054),7297,TYK2
JAK1 (Ab-1022),3716,JAK1
JAK2 (Ab-221),3717,JAK2
JAK2 (Ab-1007),3717,JAK2
IkB-alpha (Ab-32/36),4792,NFKBIA
ASK1 (Ab-83),4217,MAP3K5
LIMK1 (Ab-508),3984,LIMK1
MKK4/SEK1 (Ab-261),6416,MAP2K4
ASK1 (Ab-966),4217,MAP3K5
Histone H3.1 (Ab-10),8350/8351/8352/8353/8354/8355/8356/8357/8358/8968,HIST1H3A/HIST1H3D/HIST1H3C/HIST1H3E/HIST1H3I/HIST1H3G/HIST1H3J/HIST1H3H/HIST1H3B/HIST1H3F
FKHR (Ab-256),2308,FOXO1
BRCA1 (Ab-1524),672,BRCA1
HDAC4 (Ab-632),9759,HDAC4
HDAC5 (Ab-498),10014,HDAC5
SHP-2 (Ab-542) ,5781,PTPN11
SHP-2 (Ab-580) ,5781,PTPN11
Synaptotagmin (Ab-309) ,6857,SYT1
Synaptotagmin (Ab-202) ,6857,SYT1
Trk B (Ab-515) ,4915,NTRK2
Tyrosine Hydroxylase (Ab-19) ,7054,TH
Tyrosine Hydroxylase (Ab-31) ,7054,TH
Tyrosine Hydroxylase (Ab-40) ,7054,TH
LIMK1/2 (Ab-508/505) ,3984,LIMK1
BTK (Ab-223) ,695,BTK
MAP3K8/COT (Ab-290) ,1326,MAP3K8
CrkII (Ab-221) ,1398,CRK
eEF2K (Ab-366) ,29904,EEF2K
Filamin A (Ab-2152) ,2316,FLNA
MKK6/MAP2K6 (Phospho-Ser207),5608,MAP2K6
HDAC2 (Phospho-Ser394),3066,HDAC2
FAK (Phospho-Tyr397),5747,PTK2
EGFR (Phospho-Thr693),1956,EGFR
GSK3 alpha/beta (Phospho-Tyr216/279),2931,GSK3A
14-3-3 theta/tau (Phospho-Ser232),10971,YWHAQ
14-3-3 zeta/delta (Phospho-Thr232),7534,YWHAZ
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (PFKFB2)(Phospho-Ser483)",5208,PFKFB2
Actin Pan (a/b/g)(Phospho-Tyr55/53),58/70/71/72,ACTA1/ACTC1/ACTG1/ACTG2
A-RAF (Phospho-Tyr301/302),369,ARAF
ATRIP (Phospho-Ser68/72),84126,ATRIP
BCL-2 (Phospho-Thr69),596,BCL2
BCL-XL (Phospho-Thr47),598,BCL2L1
B-RAF (Phospho-Thr598),673,BRAF
B-RAF (Phospho-Ser601),673,BRAF
Chk2 (Phospho-Thr383),11200,CHEK2
Gab1 (Phospho-Tyr659),2549,GAB1
HDAC1 (Phospho-Ser421),3065,HDAC1
p38 MAPK (Phospho-Tyr322),1432,MAPK14
PKC alpha (Phospho-Tyr657),5578,PRKCA
PKC delta (Phospho-Tyr52),5580,PRKCD
PKC epsilon (Phospho-Ser729),5581,PRKCE
PKC pan activation site (Phospho),5578/5579/5580/5581/5582/5583/5588/5590,PRKCA/PRKCB/PRKCD/PRKCE/PRKCG/PRKCH/PRKCQ/PRKCZ
PKC zeta (Phospho-Thr560),5590,PRKCZ
MYPT1 (Phospho-Thr696),4659,PPP1R12A
MYPT1 (Phospho-Thr853),4659,PPP1R12A
PLCG1 (Phospho-Tyr1253),5335,PLCG1
PLCG2 (Phospho-Tyr1217),5336,PLCG2
PPAR-BP (Phospho-Thr1457),5469,MED1
PPAR-gamma (Phospho-Ser112),5468,PPARG
TIE2 (Phospho-Tyr1108),7010,TEK
WAVE1 (Phospho-Tyr125),8936,WASF1
XIAP (Phospho-Ser87),331,XIAP
ATP-Citrate Lyase (Phospho-Ser454),47,ACLY
Mst1/Mst2 (Phospho-Thr183),6789,STK4
Myosin regulatory light chain 2 (Phospho-Ser18),10398,MYL9
p130Cas (Phospho-Tyr165),9564,BCAR1
PP1 alpha (Phospho-Thr320),5499,PPP1CA
CK2-b (Phospho-Ser209),1460,CSNK2B
EPHA2/3/4 (Phospho-Tyr588/596),1969/2042/2043,EPHA2/EPHA3/EPHA4
EPHB1/2 (Phospho-Tyr594/604),2047/1969,EPHB1/EPHA2
Ephrin B1 (Phospho-Tyr317),1947,EFNB1
Epo-R (Phospho-Tyr368),2057,EPOR
IKK-beta (Ab-188),3551,IKBKB
IKK-gamma (Ab-31),8517,IKBKG
AKT1S1 (Ab-246),84335,AKT1S1
Arrestin-1 (Ab-412),408,ARRB1
BID (Ab-78),637,BID
CD3Z (Ab-142),919,CD247
CDK1/CDC2 (Ab-14),983,CDK1
CREB (Ab-121),1385,CREB1
EGFR (Ab-1016),1956,EGFR
FAK (Ab-407),5747,PTK2
FOXO1/3/4-pan (Ab-24/32),2308/4303,FOXO1/FOXO4
FKHR/FOXO1A (Ab-329),2308,FOXO1
GRK2 (Ab-29),156,GRK2
IKK-beta (Ab-199),3551,IKBKB
IRS-1 (Ab-323),3667,IRS1
JNK1/2/3 (Ab-183/185),5599/5601/5602,MAPK8/MAPK9/MAPK10
LAT (Ab-191),27040,LAT
LCK (Ab-504),3932,LCK
LCK (Ab-192),3932,LCK
Caspase 1 (Ab-376),834,CASP1
Caspase 2 (Ab-157),835,CASP2
GRB10/Growth factor receptor-bound protein 10 (Ab-67),2887,GRB10
GTPase activating protein (Ab-387),29127,RACGAP1
HSP90 co-chaperone Cdc37 (Ab-13),11140,CDC37
IGF2R (Ab-2409),3482,IGF2R
IGFBP-3 (Ab-183),3486,IGFBP3
MKP-1 (Ab-359),1843,DUSP1
PAK1/2 (Ab-199),5058,PAK1
MAP3K7/TAK1 (Ab-184),6885,MAP3K7
TGFBR1 (Ab-165),7046,TGFBR1
TGFBR2 (Ab-250),7048,TGFBR2
eNOS (Ab-615),4846,NOS3
eNOS (Ab-1179),4846,NOS3
IKK-gamma (Ab-85),8517,IKBKG
mTOR (Ab-2446),2475,MTOR
PI3-kinase p85-subunit alpha/gamma (Ab-467/199),5295/8503,PIK3R1/PIK3R3
Rho/Rac guanine nucleotide exchange factor 2 (Ab-885),9181,ARHGEF2
VAV2 (Ab-142),7410,VAV2
AurA (Ab-288),6790,AURKA
AurB (Ab-232),9212,AURKB
AurA (Ab-342),6790,AURKA
AurB (Ab-12),9212,AURKB
AurB/C (Ab-202/175),6795,AURKC
Integrin beta-1 (Ab-788),3688,ITGB1
Integrin beta-1 (Ab-789),3688,ITGB1
PDGFR beta (Ab-1009),5159,PDGFRB
Interferon-gamma receptor alpha chain precursor (Ab-457),3459,IFNGR1
PDGFR beta (Ab-740),5159,PDGFRB
PDGFR beta (Ab-1021),5159,PDGFRB
PDGFR alpha (Ab-849),5156,PDGFRA
14-3-3 beta/zeta (Phospho-Ser184/186),7534/7529,YWHAZ/YWHAB
Survivin (Ab-117),332,BIRC5
TOP2A/DNA topoisomerase II (Ab-1106),7153,TOP2A
IL3RB (Ab-593),3563,IL3RA
FLT3 (Ab-599),2322,FLT3
IR (Ab-1361),3643,INSR
KIT (Ab-936),3815,KIT
Androgen Receptor (Phospho-Ser650),367,AR
Chk1 (Phospho-Ser345),1111,CHEK1
FAK (Phospho-Tyr925),5747,PTK2
AKT2 (Phospho-Ser474),208,AKT2
c-Abl (Phospho-Tyr412),25,ABL1
LIMK1 (Phospho-Thr508),3984,LIMK1
IKK-alpha (Phospho-Thr23),1147,CHUK
Rb (Phospho-Ser795),5925,RB1
Rb (Phospho-Ser807),5925,RB1
Rb (Phospho-Ser780),5925,RB1
CDK2 (Phospho-Thr160),1017,CDK2
FKHR (Phospho-Ser319),2308,FOXO1
AFX/FOXO4 (Phospho-Ser197),4303,FOXO4
CDC25A (Phospho-Ser75),993,CDC25A
Cofilin (Phospho-Ser3),1072,CFL1
Chk1 (Phospho-Ser280),1111,CHEK1
Chk1 (Phospho-Ser317),1111,CHEK1
VAV1 (Phospho-Tyr174),7409,VAV1
IRS-1 (Phospho-Ser312),3667,IRS1
Opioid Receptor (Phospho-Ser375),4988,OPRM1
PKC zeta (Phospho-Thr410),5590,PRKCZ
Shc (Phospho-Tyr349),6464,SHC1
Shc (Phospho-Tyr427),6464,SHC1
SHP-1 (Phospho-Tyr536),5777,PTPN6
SHP-2 (Phospho-Tyr542),5781,PTPN11
SHP-2 (Phospho-Tyr580),5781,PTPN11
Smad3 (Phospho-Ser425),4088,SMAD3
Synaptotagmin (Phospho-Ser309),6857,SYT1
Synaptotagmin (Phospho-Thr202),6857,SYT1
Trk A (Phospho-Tyr791),4914,NTRK1
Trk B (Phospho-Tyr515),4915,NTRK2
Tyrosine Hydroxylase (Phospho-Ser19),7054,TH
Tyrosine Hydroxylase (Phospho-Ser31),7054,TH
Tyrosine Hydroxylase (Phospho-Ser40),7054,TH
BTK (Phospho-Tyr223),695,BTK
MAP3K8/COT (Phospho-Thr290),1326,MAP3K8
CrkII (Phospho-Tyr221),1398,CRK
CrkL (Phospho-Tyr207),1399,CRKL
HDAC8 (Ab-39),55869,HDAC8
HSP27 (Ab-15),3315,HSPB1
CDC25C (Ab-216),995,CDC25C
Chk1 (Ab-345),1111,CHEK1
ATM (Ab-1981),472,ATM
FAK (Ab-925),5747,PTK2
p21Cip1 (Ab-145),1026,CDKN1A
p27Kip1 (Ab-10),1027,CDKN1B
p27Kip1 (Ab-187),1027,CDKN1B
AKT2 (Ab-474),208,AKT2
c-Abl (Ab-412),25,ABL1
IKK-alpha (Ab-23),1147,CHUK
HDAC2 (Ab-394),3066,HDAC2
FKHR (Ab-319),2308,FOXO1
AFX/FOXO4 (Ab-197),4303,FOXO4
CDC25A (Ab-75),993,CDC25A
Cofilin (Ab-3),1072,CFL1
VAV1 (Ab-174),7409,VAV1
IRS-1 (Ab-312),3667,IRS1
Trk B (Phospho-Tyr705),4915,NTRK2
Cyclin E1 (Phospho-Thr395),898,CCNE1
KSR (Phospho-Ser392),8844,KSR1
PLC beta3 (Phospho-Ser1105),5331,PLCB3
Pyk2 (Phospho-Tyr580),2185,PTK2B
STAT5B (Phospho-Ser731),6777,STAT5B
SYK (Phospho-Tyr348),6850,SYK
P70S6K (Phospho-Thr421),6198,RPS6KB1
CaMK2 alpha/beta/delta (Phospho-Thr305),815,CAMK2A
MAPKAPK2 (Phospho-Thr334),9261,MAPKAPK2
NFkB-p105/p50 (Phospho-Ser927),4790,NFKB1
Smad1 (Phospho-Ser465),4086,SMAD1
Smad2 (Phospho-Ser467),4087,SMAD2
ACC1 (Phospho-Ser80),31,ACACA
Caspase 6 (Phospho-Ser257),839,CASP6
Caspase 8 (Phospho-Ser347),841,CASP8
Caspase 9 (Phospho-Thr125),842,CASP9
CDC25B (Phospho-Ser323),994,CDC25B
c-PLA2 (Phospho-Ser505),5321,PLA2G4A
PKD1/PKC mu (Phospho-Ser205),5587,PRKD1
PKD1/PKC mu (Phospho-Tyr463),5587,PRKD1
PKD2 (Phospho-Ser876),25865,PRKD2
Rb (Phospho-Ser811),5925,RB1
Rb (Phospho-Thr821),5925,RB1
AKT1 (Phospho-Tyr326),207,AKT1
BAD (Phospho-Ser91/128),572,BAD
BAD (Phospho-Ser134),572,BAD
Calmodulin (Phospho-Thr79/Ser81),801/805/808,CALM1/CALM2/CALM3
CaMK1-alpha (Phospho-Thr177),8536,CAMK1
CaMK4 (Phospho-Thr196/200),814,CAMK4
Caspase 9 (Phospho-Tyr153),842,CASP9
Caspase 9 (Phospho-Ser144),842,CASP9
Caspase 9 (Phospho-Ser196),842,CASP9
Caspase 3 (Phospho-Ser150),836,CASP3
Catalase (Phospho-Tyr385),847,CAT
Catenin beta (Phospho-Tyr654),1499,CTNNB1
CD227/mucin 1 (Phospho-Tyr1243),4582,MUC1
CD28 (Phospho-Tyr218),940,CD28
Interferon-gamma receptor alpha chain precursor (Phospho-Tyr457),3459,IFNGR1
IL-2RA/CD25 (Phospho-Ser268),3559,IL2RA
RAD51 (Phospho-Tyr315),5888,RAD51
RAD52 (Phospho-Tyr104),5893,RAD52
MKK4/SEK1 (Phospho-Ser257),6416,MAP2K4
ATP1A1/Na+K+ ATPase1 (Phospho-Ser23),24211,Atp1a1
PIP5K (Phospho-Ser307),200576,PIKFYVE
WEE1 (Phospho-Ser642),7465,WEE1
CK1-A (Phospho-Thr321),1452,CSNK1A1
HSP90B (Phospho-Ser226),3326,HSP90AB1
Merlin (Phospho-Ser10),4771,NF2
CK1-A/A2 (Phospho-Tyr294),1452/122011,CSNK1A1/CSNK1A1L
MER/SKY (Phospho-Tyr749/Tyr681),10461/7301,MERTK/TYRO3
CD22/BL-CAM (Phospho-Tyr807),933,CD22
FRS2 (Phospho-Tyr436),10818,FRS2
Ephrin B1/B2/B3 (Phospho-Tyr324),1947/1948/1949,EFNB1/EFNB2/EFNB3
EPB41 (Phospho-Tyr418/660),2035,EPB41
Mnk1 (Phospho-Thr385),8569,MKNK1
TIF-IA (Phospho-Ser649),54700,RRN3
MDM2 (Ab-166),4193,MDM2
NFAT3 (Ab-676),4776,NFATC4
NFAT4 (Ab-165),4775,NFATC3
NFkB-p65 (Ab-505),5970,RELA
p300 (Ab-89),2033,EP300
p53 (Ab-20),7157,TP53
p53 (Ab-392),7157,TP53
P70S6K (Ab-229),6198,RPS6KB1
P70S6K (Ab-371),6198,RPS6KB1
P70S6K (Ab-418),6198,RPS6KB1
P90RSK (Ab-359/363),6195,RPS6KA1
P90RSK (Ab-380),6195,RPS6KA1
P90RSK (Ab-573),6195,RPS6KA1
PAK1 (Ab-212),5058,PAK1
PAK1/2/3 (Ab-423/402/421),5058/5062/5063,PAK1/PAK2/PAK3
PAK1/2/3 (Ab-141),5058/5062/5063,PAK1/PAK2/PAK3
PEA-15 (Ab-116),8682,PEA15
PKA CAT (Ab-197),5566,PRKACA
